topic,review
It is still good chicken rice + SG zhi char,"I haven't have a warm chicken meat since they moved from Novena Regency.
It is still good chicken rice & chilli + dumpling & local kitchen dish which you can find in coffeshop house below HDB known as Tze Char (Affordable seafood restaurant in a casual setting).
I only wish that their roast chicken are warm, maybe due to their air condition in the shopping mall. Steamed(white) Chicken is definitely better in this condition"
Decent Food,"Mainly came here because a friend was in town and wanted to try chicken rice and Wee Nam Kee in Marina Square is the only option that is air conditioned in a mall, in CBD. Not the best service but food was decent, can't go too wrong with chicken rice of a supposed reputable restaurant chain."
Food OK But HORRIBLE Service!,"Customer service was terrible at this location. The server was extremely rude. Visited the restaurant on 1-15-20. Maybe because it was close to closing time that the server was rude. The website on google may have the incorrect closing time. There’s still no excuse to be rude. The server just walked up no greeting, dropped the sauces off and walked to clean a table next to where my friends and I were sitting. He comes back around and pulls out a piece of paper and pen and just stood there. Didn’t say a word. We questioned the menu and he just pointed like he we should just be able to read the menu. This was my first time in Singapore. Beautiful place, beautiful people but bad customer service at this restaurant!"
"Wee Nam Kee, a renowned chicken rice shop in singapore","Wee Nam Kee, a renowned chicken rice brand in Singapore. It has branches in Indonesia, Philippines, Korea and Japan.
Personally I prefer the roasted version rather than the poached one. The roasted chicken has a crispy skin with tender meat. Rice is fragrant and goes well with the chilli and ginger sauce provided. To have so many branches both in Singapore and overseas speaks volume about its chicken rice. The shop has other dishes in its menu as well which is pretty average. But the star here is definitely the roasted chicken rice!

Follow me on IG: #yourtravelbuddysg TripAdvisor: https://www.tripadvisor.com.sg/Profile/yourtravelbuddysg
for my latest reviews on food, hotels, and travelling destinations."
Ok taste Bad survice,"シンガポール訪問最初の夜、店を訪れた。ラストオーオーダー時刻を過ぎていると思ったが、店員の女性は入れてくれた。しかし、オーダーを取りに来た男性の若者はあきらかに不機嫌。ある程度英語が話せる私でも聞き取れないくらいの速さで、オーダーを取ろうとし、あげくに、チキンライスが載った皿とスープが入った器をテーブルに投げる（本当に）始末。味は良かっただけに、最悪な体験だった。
The first night I visited Singapore, I visited this restrant. The young man came to our table and take the order but he seemed angry and spoke too fast to understand. The worst was that he thrown plates with chicken rice and bowls with soup!!!. Now we do not understand his bad behavior.The taste was ok, but the worst experience. We never ever come again, because of the man who worked on the26th Dec 2019 !!!"
Absolutely rude restaurant host.,"Absolutely rude restaurant host expecting diners to share tables and when asking for a non-shared table and the wait time, we were rudely given a non-answer. I would stay far away from this Chicken rice chain which gives Singapore Hainanese chicken rice a bad name. There are much better ones such as Boon Tong Kee or Five star chicken rice. I would rather starve then eat at this place ever."
great find!,"A rather plain looking restaurant in a shopping mall but the food!!
Loved the roast Hainanese chicken with fragrant rice, moist, tender and full of flavour, and Singapore chilli crab, YUM!
And paid only SGD$70.
Service was great and super friendly, even refused a tip
Need to go back again"
Lunch,"First time going to this restaurant and the food was just a pass. The chicken was a bit tough, like it was a bit over cooked. However the rice was really good and the vegetables was stir fried pretty well. But besides that, its nothinf special. It’s probably better if you went to a Hawker Centre instead."
Highly recommended,"There are many Hainanese chicken restaurant or eateries in Singapore. My favourite is Wee Nam Kee. The poached chicken is tender and smooth. Although the chicken rice can be better, the poached chicken made it to my top list. In Brunei, people always said TT is the best. Wait until they try this."
Very delicious and the price also no expensive,"loved the steam chicken here! ????????????.Great chicken, great service. Never miss this place when I'm in town"
Fantastic Chicken Rice,Found this place on the net. First time had to wait in a queue for 20 minutes( lunch time). However it was well worth the wait. Shared a table with some local girl who were very helpful. The set menu was a good price. In fact it was so good we returned later in the week but was early enough to beat the lunch rush
Awesome!,No frills restaurant. Very reasonable price. Value for money. Can be quite pack during peak period. Good for families and groups as they also serve other dishes. Must go place.
Insect,"Meal ruined by insect among the food and incredibly rude staff who accused us of planting it there, egregiously horrendous place, do not go there!"
Very good!,"We come to WNK at least once a month, and Jun, after we returned from the US, was no different.

Their chicken is nice and smooth, rice is fragrant, not overcooked, they have vege and other dishes to go with the chicken.

On this visit, the roast pork was a little disappointing (maybe a one off), and I encountered a member of the kitchen staff who visited the restroom, and did not wash his hands before he exited. Perhaps he washed in the kitchen before resuming duties. Hope so."
Good and inexpensive,Good food and at a reasonable price. I had the Hong Kong noodles and my wife had chicken and fried rice. All was good.
Hair in food,"Hair found in food, staff nonchalant about it, no apology, only sour faces as if we were the ones at fault"
Delicious and affordable,"The chicken rice is really good here. Wouldn’t say that it’s the best but for the restaurant setting and the price, it’s worth it! I’m more blown away by the curry fish head than the chicken haha!"
The best Hainanese Roast Chicken,"Always love go to this place. Personally I think Wee Nam Kee served the best Roast Hainanese Chicken Rice. They're succulent, crispy skin, and tasted amazing.

Don't forget the chili sauce too..... garlicky, sweet and sour..... makes my mouth water!!! We also love their wonton soup, and also the water spinach sautéed with belacan!!

Very reasonable prices!! Highly recommend when you visit Singapore!!"
The Best Ever,Have been coming here for 5 years as an expat and now back visiting on holidays! Just the best Chicken and Rice Singapore has to offer! Love Love Love!
Attitude problems with staff,"Lousy service, rude staff, charge for towels when you don’t use and when you tell them, they give you black face and say it is your job to return to the counter"
Value for money!,Delicious chicken rice and fried egg. It’s a typical zi char stall though chicken rice is their specialty. The affordable price surprises me and the nostalgic feel to the restaurant is unique. Can’t wait to try other dishes! Yummy . One of the best restaurant in Marina Square
Very Rude service,"Went alone today for lunch because the chicken rice is good. But the service was rude & bad as usual.(Went with my family before). Waitress did not bother to answer me stared at me as if they wanted to fight with me. Maybe because I was alone and they do not want to trouble themselves for a one person order. I had no choice but to walk out of the restaurant and find other place for lunch. Will never return again no matter how good the chicken are. There are lots of local chicken rice that is equally as good if not better!!
Very angry & unhappy patron."
Worth it,The food quality was way above the standard that I had expected and the fact that it tastes so good made me feel very very satisfied. The rice was savoury and chicken was very well seasoned. Recommended to bring your family along because it is also very affordable and food was amazing!
All of the chicken dish was delicious,"I went there because a lot of my friends recommended this place. We ordered the hainanese chicken, the roasted chicken and the soy chicken. They were all delicious that we managed to finish them all 😁👍"
Good,Amazing chicken rice . Good for kids and family . Highly recommended . Good price and amazing food ..
Value for money but I'm reducing one star purely based on the lack of integrity in the lady cashier.,"Food quality is good, however business integrity is equally important.

Comes in a set, very affordable and delicious.

Been eating there for years, and on more than 5 occasions, I've chosen to do a takeaway if the restaurant is too crowded.

Went about my day today and decided to do a takeaway. Ordered a set with extra rice and 3 extra eggs. Normally the extra eggs was packed in a disposable plastic bag(FOC) but this time round, the lady at the counter INSISTED to charge me for a plastic container even with i told her it would not be necessary. (Extra rice was already wrapped in brown paper and eggs separately in a disposable plastic bag).

I can afford to part with the 20 cents, but its got to do with business ethics. Why would you charge me for a redundant plastic container when otherwise its free (using a disposable plastic bag)."
Excellent Food and Service,"Wee Nam Kee was recommended to us by many people. It did not disappoint.
The food was excellent and so was the service.
Our favorite was the Hainanese Chicken Rice. It was the best that we have had during our one week visit to Singapore.....we ate here every day!"
A Must Try,"Chicken Rice is a very Singapore dish. You must try it to understand why the local rave about this food. This restaurant is probably the best place for such an experience. We tried both the white a dark versions (we liked the dark better), and it was very good. The other dishes were also very good. The restaurant is relatively small, but the food and settings were just great."
Amazingly cheap,This place is cheap and very filling. Food made fresh in front of you. This is a must for anyone wanting a quick cheap snack
Delicious Chicken Rice,This is one of the nicest Chicken Rice dishes I've had. I had the set menu with dumpling soup and the sauces provided were amazing
The place in town if you need your predictable Hainanese chicken rice fix,"I have come here several times over the years. The quality of food has been most consistent. The rice is not too oily, unlike most other Hainanese chicken rice. The chicken is exactly what you would expect - juicy, tender. Ginger is provided generously. The chilli is hot, not killer-spicy, but very good. I had wanton soup - very nicely textured and “marrow-ly”.

Business is always brisk at peak times. But good thing is, as the food gets served very quickly, tables empty quickly too!"
Singapore's Signature Dish,"Singapore's national dish is Hainanese Chicken Rice and one of those things you have to have when you visit Singapore. Business lunch and wanted local food, so Wee Nam Kee it was - and I was quite happy. The consistent good reviews are for a very good reason - the food is good, you get a lot and service is great. I recommend the boiled white chicken.

The chicken was expertly cooked and the meat moist with a simple flavor that is enhanced by the fragrant rice that has ginger and garlic. Mix the ginger, soy or chili flavored sauces that are on the table for different flavors."
I love this place!!,I was in Singapore for business and stayed at a local hotel. I found the food at this location to be extremely good and the service to be good as well. I ate at this location a couple of times and it is consistently delicious.
Great for Family,"We had our last dinner in 2018 at Wee Nam Kee Marina Square. It was busy, like usual, and the line was long, but we didn't wait too long to get a table, even though we had to share.
Food is fantastic, like always. Rice is fragrant and chicken is moist.
Surprisingly our favourite is the vegetable with oyster sauce. We finished it until the last drop.
Will be back again for sure."
Not Bad!,Rice is fragrant. Chicken is decent. The Char Siew is not very nice. Decent price for the taste. Service is ok.
Love this chicken rice,"Tried so many chicken rice in Singapore and I still feel that this is the best. Rice is full of fragrant, tender chicken and the soup is so good. If I have to pick on something, I would say that the Chili can be better ( in my opinion, not garlicky enough. I am a fan of boon tong Kee Chili sauce ( only))

Go for the soya sauce chicken. That’s the highlight to me"
Average tasting chicken rice,My 2nd time after a long while visiting Wee Nam Kee. I always see a long queue or full eatery whenever I walk past but no idea why even after trying it again. Rice is rather too oily and chicken is normal. Bought the set with roasted chicken and a plate of oyster sauce vegetable for $7. I have definitely eaten much better chicken rice than this.
