topic,review
Last day at Wild Rocket,It’s truly been a journey. Sad to see such an iconic restaurant leave the market. Amazing mod-sing dishes
Interesting but service could be better,"The place was packed for lunch during Saturday. I decided on the omakase lunch which was consisted of 7 courses. My only request was the dessert not to be the restaurant's signature Wild Rocket Chendol which I just had a couple of weeks ago. Ice water was served after placing order.

Course 1 : Bah Chor Mee
Negitoro (minced fatty tuna) topped with chopped spring onion and chilli padi, crispy lards, fried shallots, on top of a bed of warm glass noodles.

Course 2 : Thai Pomelo Salad
Served with tiger prawns & frozen coconut dressing
The dressing was like a scoop of ice cream and made of coconut, chilli, fish oil, and shallot. It tasted quite lemak. Having it with mint leaf, pomelo, and cilantro, it tasted quite refreshing with hint of spicy and sweetness of fruit.

Course 3 : Chilli Crab
Crab cake made of blue crab and spanner crab, served with chilli crab sauce.
The crab cake was packed with nothing but crab meat. Quite juicy and yummy on its own.

Course 4 : Hokkien Mee
Fresh pasta cooked with prawn stock, and hae ko (black shrimp paste). It was quite flavourful but a bit too salty for me.

Course 5 : Wild Rocket Strawberry Cheesecake
It served deconstructed style in a Martini glass. Creamy without too sweet or sour.
I was surprised that I was served dessert before my main. I later asked the staff who thought I already had it. In the end I went through what I had with 2 different staffs and decided that there was 2 more courses.

Course 6 : Black vinegar iberico pork jowl with pickled cabbage and chestnut puree
The meat was quite tender and pulled out easily. Quite appetizing with the pickled vegetables.

Course 7 : Lychee sorbet with lychee martini gummy
The sorbet was topped with ginger flower and blue pea flower. Interesting flavours of the light lychee and the slightly stronger ginger flower. Quite refreshing.

Overall the food was not bad but was a tab upset about my course of dishes being overlooked. By the way as the place was full house, it was quite noisy too."
Not worth it,"Agree with a previous reviewer that although the food is interesting, the pricing is way too high. Definitely not worth it."
Nice meal,It's a fusion restaurant with Asian and Singaporean food. Nice atmosphere with good service. My favourite was the smoked duck salad and the prawns
No wonder the restaurant is empty...,"I will suggest to Mr Low to relook/review his dishes and pricing policy before Wild Rocket goes the way of some restaurants in Singapore. A dinner outing for 3, with a bottle of wine, set us back nearly $450. Whilst his chef's execution of the dishes is interesting, the portions are really tiny. There are so many ""adds"" and ""adds"" and ""adds"" to each dish in the tasting menu. I really cannot understand why restaurants do that. It is petty. Charge one price and leave it as that. I can understand if the ""add"" is for truffles or expensive stuff, but it is not the case here. I left the restaurant unfulfilled. If a restaurant charges top price, I expect top rate service. Again, this is not the case here. Napkin dropped on the floor was picked up and folded and returned to us (and it was not changed). Side plates had to be requested. Service standard was merely perfunctory and not enthusiastic. And I can go on... My experiences at Wild Rocket were pretty many good years ago. It was mostly full-house at that time. The night I went, it was rather cold and is a sad place. Until Mr Low starts accepting that he has lost his magic and needs to do something about it, I will not be back. And he must realise that he is doing something very wrong here when he sees his ""then"" and ""now"" revenue. I really hate to see it going down like this."
Lovely Dinner,"Yes, it was hard to find. Eating outdoors was not noisy but calm and perfect for dinner. Portions are small, you have to think of it has a tasting menu. Prices are high but I don't regret spending the money to be there."
Not worth it,"After reading all the great reviews, we decided to eat here. Although the food is pretty good,the portions are insulting, the location random and atmosphere nonexistent. WE ordered the ravioli and it literally had only 5 small raviolis. The snapper was half the size of my pinky and the soup was exactly 3 spoonfuls-"
Interesting but noisy and inconsistent,"This small restaurant made our evening most uncomfortable. It was Super noisy!! There was No sound absorption, the voices of people was amplified and reverberated around the room and it was impossible to hold a decent conversation. Our ears were terribly traumatised by the time the meal was over. Service was below average.
Overall, the food was very rich and spicy and heavy and creamy. Interesting as you never know how the next dish will look n taste like. The Prata with tuna and caviar was a clever concoction but a tad bit salty. The Gado Gado was interesting and we enjoyed the crunchy vegetables and the rich ice cream. The fried oysters were served with a tasty sauce. The spaghettini was unforgivably soggy and overly spicy. The Buah Keluak ravioli was an acquired taste. The Ibirico pork with Black Vinegar jelly was disappointing and tough. The fish with Sayur Lodeh sauce was good but spicy. The chendol was outstanding!!"
A hidden delight,"We chose Wild Rocket after reading Tripadvisor reviews. Do not be put off by the location or the lack of obvious entrance to the restaurant as this is a great restaurant. We went for dinner and chose the 5 course set menu. This is a bit of a misnomer as there were choices. The quality of the food is very very good and while there may only be 2 choices for each course everything on offer is fabulous. We chose alternative courses through the first 4 courses and both went for the signature sweet chendol. We went for a reasonably priced bottle of white wine and thoroughly enjoyed the meal.

There was only one other table of 4 in for dinner so the atmosphere could have been better however we got to talking with the one of the guys serving who asked us why we had gone for wine instead of saki (which is a house speciality) I offered up my ignorance of saki as a defence and then got drawn into a saki tasting experience which was wonderful.

As ever the litmus test is would you go back and this would be a definite yes. Great food with fantastic service. I would encourage anyone visiting Singapore to try Wild Rocket."
Singapore in Delightful Morsels,"Wildly creative... And rocketing new heights of gastronomic pleasures. These are my descriptions of food by Willin Low which represent the best of Singapore and Singapore modern cuisines. He infuses the perfect blend of traditional and contemporary flavors into his culinary creations. For an overseas visitor or local, Wild Rocket presents that dining experience comprising impeccable sight and taste which are further enhanced through its food plating on Singapore designed dining wares. Truly unique, truly special.

#wildrocketsingapore #willcookwilleat

Keith Er
Singapore"
Delicate flavours and dainty dishes,"We came for lunch which I think is better value. We missed the hotel entrance when we walked up the steps to the park but soon had directions from a local.
The setting is cool and serene. We had booked but there were a couple of free tables. I had the four course option and my hungrier husband had five. Food was very tasty, subtle flavours and seemed to be Italian with an Asian twist. The beef spaghettini was our favourite dish. The lychee sorbet was a work of art on a plate. We had water, a glass each of wine and excellent coffee and we thought the price was very fair. This is not hearty fill you up food but having a meal here to experience Mod Sin cuisine makes a welcome contrast to the delights of hawker food courts."
Evening meal,Don’t come here if you are hungry ! A la Carte and set menu the same - only 2 main courses - one is pork and the other one fish !
