topic,review
"Great service from Praveen, Window on the Park restaurant, Holiday Inn Orchard City Centre","We were staying at this Holiday Inn and had breakfast at the Window on the Park restaurant for about a week. The restaurant staff were helpful and quick to greet people. In particular, we want to commend a wait staff, Parveen, as he was polite and diplomatic with the patrons. For us, it’s always good to be greeted with his cheerful disposition first thing in the morning."
New year family vacation to Singapore,"Pretty good breakfast buffet with wide variety of food. We appreciate nicely services from Praveen, who prepared us decent Cappuccino every morning."
Awesome Food & Great service,"We went there for team bonding and had a amazing time! The chefs were friendly, always smiling! Nitin and the rest of the service crew were providing great customer service! Food was really good too! Will come again!!"
Christmas Menu,"The spread is reasonable for the price. Staff is nice and attentive. Liked the seafood mornay, mashed potatoes is super good, spicy lala, satay and their christmas log cake."
Good food (Indian cuisine especially) and friendly staff,"Had a staycation here and went for the buffet breakfast. Spread was good! In particular, the Indian cuisine was excellent! Authentic and tasty! Surendar was our waiter for the day and was fast in his service and friendly. He even prepared cappuccinos to go for us! ☺️☺️☺️"
Great food and customer service,Praveen provided the best customer service. Everyone was nice. Great food and customer service. Excellent location. Good clean rooms.
High Tea,"From the beginning to the end, the service was terrible. Only our table (4 adults and 3 children) and one other were booked for high tea and there was hardly anyone to service us. High tea food selection was the bare minimum. The waiters were rude and busy talking outside. We had to call them each time for service. Beverages were not filled, and no one came to ask us anything. What a horrible experience and had to pay so much. Never will I step into this restaurant - Windows on the Park and will share my bad experience with others too."
Good food. Excellent service!,Loved this place! Food was good and service was amazing. Shoutout to Helena for being awesome! She definitely makes the dining experience better. Thank you Helena!
TERRIBLE FOOD,"Fried Been Hoon was so salty
Lobster was so salty
Food Standard Drop So Much
since i last came ….So Disappointed"
Delicious food and awesome service,"100% recommend this restaurant to families with young kids. Not only do they have a good range for adults at their breakfast buffet, they also have thought of kids and have a seperate kids corner. Service is excellent! Staff are all very friendly and helpful- Shout out to Sasi, Siri and Vignesh. Thank you for making our stay a memorable one."
Biz lunch,"The food is authentic. Service team provided excellent service (Mr. Ghosh & Ms. Helena as well as Mr. Sasi).
Would certainly recommend friends to try. Looking forward to come back again..."
Very good stay,"We had breakfast at window on the park every morning. What made this so special was the waitress Helana. Amazing service with a smile and very good knowledge.
Highly recommend"
Great Place!,"I loved coming to this place, a wonderful breakfast buffet right after my long 9 hour flight. It has a HUGE variety of foods, and even a little kids food section. I adored the music, and the overall layout of the buffet, tons of greenery were surrounding us. All the staff were very pleasant, helping you out at all times, and they always had a big heartwarming smile on there face. A very special thanks to Helena for helping us out, and giving us our best experience."
Perfect start for the day,"Fresh fruits, muesli, poached eggs from live cooking station... everything you can hope from breakfast accompanied with friendly and helpful staff."
‘Some Like It Hot” Sep-Oct 2022 Ala Carte Buffet Dinner,"The price for 1 for 1 buffet at $130 ++ is on the high side considering the quality of food on the menu when compared to other hotel similar offerings. The cold sea food spread offered on platter is disappointing as most of the items are not defrosted properly before being taken out . Oysters and Sashimi are ok. We end up eating mainly oysters and sashimi rather than other food offered on the buffet spread. However , the service was good . Helena and Farhan took well care of our needs and is always there to serve us with a smiley face."
Wonderful Service!,"We were greeted warmly by Bala, the manager. He was very patient and explain the different promotions available. During our dinner buffet, both Farhan and Mina was very attentive and cleared our table promptly and efficiently.

The spread of food was not bad. Quite a number of seafood spread and variety of options. The laksa, satay and mala seafood highly recommended.

Another commendable gesture was that the chef, Frachis helped to cook up some mock meat and prepare special food for one our colleague that was a vegetarian. Really very sweet gesture of going out of the way for customers. Everyone of us had such enjoyable experience. Thank you yo all the wonderful staffs"
expensive,food are limited. very little spread. no special highlight. Costly and not worth it.. very disapponted.
"Good Service, nice restaurant","I took up an offer of buy one, get one to have the buffet lunch at this restaurant. The food was a modest size spread and had some very nice options, food was of reasonably good quality. The restaurant had very good service and dishes were cleared away immediately and overall service was great. The problem with this restaurant was the buffet was advertised and priced as a seafood buffet but this was not really the case. I could only find 2 seafood dishes available. The price was over $100 per person for lunch which is pricey even for Singapore, luckily I had booked under the buy one get one offer but even after taking advantage of this offer the lunch did not really feel like good value."
Fantastic breakfast offering and service,"We ( family of 4-2 adults and 2 kids under 10) recently visited Singapore from the US. We stayed at the Holiday Inn at Orchard and took breakfast at the hotel restaurant. We were absolutely impressed and excited to see the breakfast spread, the cleanliness and the professionalism of the staff. It was a delightful experiences for our kids and us alike. We would like to offer our sincere thanks to Vik, Helena and their team for their excellent service."
Family holiday,"We attended the restaurant both for breakfast and dinner. Staff were very helpful,a young man called Sashi was very attentive as was the floor manager Bala who went out of his way to help us.I also spoke to the presentation chef Teck Wee and had numerous conversations with him about the food having worked in hospitality some years ago,he is a young man dedicated to his craft.One thing that everyone of the staff had in common was an honesty about themselves talking of there respective backgrounds where they came from and where they are all heading to in the future .These people I will never forget.Thanks to all who made this holiday special"
Breakfasts during work trip,Plenty of great breakfast options buffet style and helpful service. Helena was very attentive and friendly!
Company Dinner,Good Vibes. Helena was very kind and served us with the highest of standards. The Aircon could be a little colder though.
Window on the Park Service,Good food and ambience. The waiters Helena and Farhan were kind to attend our needs and were very attentive.
Pleasant dining experience,"My second visit here. Food choices were plenty. Staff were prompt and courteous in their service delivery. Their signature black pepper lobster is SHIOK!

Special mention to one of your staff, Mr Nitin, for going the extra mile in his service delivery. I had a few kids during dinner and he was kind to ask their dining preferences and helped serve to the table for them. Keep up the good work!"
Buffet Dinner on thursday,"This place is absolutely the worst buffet in Singapore. Bad food, very late in refilling, and the 50% discount for credit card and eatigo is not correct. Its 150 per pax, worst than all the 5 star hotel and they are not upfront.

Would not come here anymore."
An experience NEVER to forget and forgive,"We booked a 1-for-1 buffet at WBTP Holiday Inn Orchard for lunch on Sat 28.05.22 via Chope. I booked based on your price at $98+++(1-1) for a Seafood spread. What a “HUGH” spread it was! It was not buffet style but a-la-carte and the captain said was due to the small crowd size. The so-called seafood on the ice: miserable pieces of mussels, scallops on broken shells, small prawns, some ‘gong-gong’, all NOT fresh, salad and 5 types desserts offered! However what shocked us was the price: from $98+++ to $150+++pax, an overnight price change! A daylight robbery indeed!!!"
CELEBRATION,"Wonderful dinner. Excellent service from staff. Surprise birthday cake from restaurant. Special thanks to Ramesh, Nitin, Fahran and the others."
Food & staff were amazing!,"Lovely vibes from the staff, constantly asking if we need anything. The food was wonderful and with a rich taste. Definitely recommended!"
Awesome staffs and wonderful service.,Staffs were very warmth with their services and food was delicious. Must try the rendang and butter chicken!!
Great Service by Helena,Helena was fantastic and gave us a lot of attention during our dinner. She was very assistive to our request and an excellent gem for Holiday Inn
Great Service-!,"Went for walk in and left number as they are fully booked. Didn’t expect there will be a place, almost went to another place. Within 1 hour receive call with good news, so went back and have a wonderful time and dinner, thank you Vik for the follow up and great service~!"
Window on the Park,"Rendang & butter chicken is good, prawns were fresh. Chili crab could be better. Friendly servers..."
Great Service ♡♡♡♡♡♡♡,"Came down to break fast on 11 April 2022.
Service from when we entered, we were served with warmth.
The servers were prompt, great initiative, and polite.
Special mention to an indian lady / server (didn't get her name), who made us feel at ease because we had 3 kids under 4years dining with us.

We definitely had a memorable night.
Thank you."
