topic,review
Local Watering Hole with Good Food at pretty Good prices,"I got to notice Wine and Chef when I passed by this restaurant and stole a quick peek at the menu. I liked the variety and then made a mental note to find out more about this place. I got more interested in it as I found out more. So finally coming here is like fulfilling a wish made almost a year ago. And a nice wish it is because the food is so good and comforting.

Iberico Pork Jowl is so beautifully grilled to have a lace of char while retaining the meat juices to keep the meat tender and moist. Good to be eaten on its own and also good to be eaten with the slightly tangy jaew sauce. I love this so much.

Scallop Capellini features sweet, plump, succulent Hokkaido sashimi scallop, pops of umami from the flying fish roe and very flavourful capellini, which is is a bit like our local favourite, mee kia. A very well-executed dish.

Venere Rice Pudding has the creamiest coconut ice cream that I totally love. The black rice adds the wholesomeness to the dessert. And there are edible sparkles added that will set off mini ""fireworks"" in the mouth. Lots of cackling and pops ensured when biting into them, which is very interesting.

This place is like a very cozy, comfortable den where the locals and expats hang around to enjoy good wine and good food that is prepared European style, with a bit of local twists. The service is very good, being polite and efficient. The food has elements that will cater well to the locals' taste buds and still appeal to non-locals. This is one place I will recommend to anyone wanting to take the first step into trying European style cuisine. I'm really impressed with the food here, not fancy but very delicious. There are other items in the menu I can't wait to try.

Thoughts: Great place to chill, wine and dine.

By the way, this place is pretty dark, so it's great for romantic dates. If photo snapping, remember to turn off the flash (direct flash does not make the food look good), hold the camera or phone still after taking the photos so the lens can have sufficient time to gather enough light to yield clear pictures."
"Excellent service, good wine selection and quality food","Came here in a party of 4. Very excellent service. Had a good bottle of primitivo, half a dozen fresh large sized oysters, pork jowl small plate and 4 main courses (barramundi, black pork, salmon risotto and duck confit). Good quality food and excellent service here!"
Hidden Gem on Keong Saik,"Wine and Chef is a nice and cosy Italian fusion restaurant along Keong Saik in the heart of the CBD. It offers both and indoor and outdoor seating, but highly recommend the high table next to their in-house wine cellar to see the bustling action of the restaurant and into the kitchen!
Food is amazingly good and prices are reasonable, which allows you to order more food without breaking the wallet!
Ordered the Grilled Octopus, Wagyu Beef Cheeks, Deep fried White Bait and Pork Jowl are highly recommended as starters and we really couldn’t resist ordering more food from the menu!
Must also try the Scallop Capellini and Salmon risotto… both were a burst of flavour in my mouth with the right amount of contrasting texture!
Such a satisfying meal and excellent service from Jonathan and his staff at the restaurant for both food and wine recommendations!
Wine and Chef is a great choice for date night, anniversary and birthday celebrations or just your casual chill night! Will definitely be back for more great food and fine Italian wines!
Highly recommended ⭐️"
Lunch,"Good quality food with great taste, warm service crews, nice quiet ambience. Now we become their regular customers."
Good fare,"Hyogoro oysters on offer were very worthwhile (although the offer is only unlocked with the purchase of a bottle of wine on Tuesday).

Crab cake was crisp and light. Exquisite.

Surprisingly impressive vegetables that go along with the pork main.

Duck confit - melt in the mouth, with fluffy corn risotto.

Free dessert with a TripAdvisor review ;)"
Fabulous set llunch,Visited wine and chef again for their set lunch. Choose a premium set at sgd31. Love the meal which taste so yummy and it comes with Tiramisu and coffee. Nice music and great atmosphere . Will be back again to try out duck confetti!
Good Ambience and Great tasty Food,The Food is so good and the staff are super friendly. My friend and myself really enjoyed the dinner at Wine and Chef
We will be back,"It was our first visit, and we will be back.
Almost every dish is cooked and presented well.
I particularly like the lobster pasta and octopus, followed by Thai styled clams. Perfect, except that you don’t expect a large portion. Not a big restaurant but we took a little “corner” and largely undisturbed. Cosy atmosphere.
Wine is reasonably priced by local standard.
We had a sumptuous discount (National Day!) . So you may expect to pay more than we did!"
Great Service,Calvin was great and very accommodating!! He assisted us in our selection of alcohol for the night and also treated us with some goodies at the end of the meal! Excellent!
Quality dropped since last visit,"Came here a few times before. The food used to be quite good, especially the value for money set lunch. However this time it was quite bad. The soup was tasteless and like can soup. The pork belly was better, but a bit oily. And the ice cream favour was simply very weird. The coffee was bland, watered down and tasteless too. Such a let down."
