topic,review
Excellent services by William,"Went on Wednesday evening and was served by William. He was extremely attentive and patience with us. He patiently guide us on the wine list and explained in details on the food menu. I had very bad eye sight and hated using phone to do ordering. But William was so meticulous and offer to do the ordering for us on his tablet.

Went to few other wine connections and William gave us the best impression. Now with him around, we will definitely go back to this branch.

Thank you William"
Not a place for Senior Citizens. Not inclusive.,"I would not recommend for senior citizens. There is no hard copy of menu. They expect guests to squint into the handphone. Their ordering ipad pictures and wordings are so small, unable to see to order. When I asked the waiter for help, he said, ""I can't help you"". No wonder there wasn't a single soul in the restaurant!

Definitely not an inclusive restaurant in a world where diversity and inclusively is becoming more important."
Half a cockroach under pizza slice,"As the title suggests, this is what we found as we were having dinner at this restaurant recently. Serving staff were shocked, but their response was to bring another pizza!!! Obviously threw that away immediately and will never eat here again."
Dinner at HillV2,"We visited Wine Connection at HillV2 after a long gap since our last visit.

My wife and I ordered truffle fries, mushroom soup and a Spanish paella. Overall the food is good.

Staff are friendly and helpful. The reservation service was straightforward.

We were just surprised that the restaurant was full on a Wednesday evening."
Wonderful experience!,"Visiting Wine Connection at HillV2 is always a pleasure. Had an enjoyable evening today as well. The food was nice, and the staff, very helpful. Special mention for William and Syaiful, who were friendly and very accommodating to manage our orders and requests very well. Thanks for that!"
Nice ambience and environment,"Nice ambience and environment and good service by staff especially Herman. Will
Surely come again...."
Good Service Good Ambience,Not the first time at wine connection hillv2. Always had pleasant visits but today's good service made me justifiable to write a review. I was served by Jane during my visit and I only have praises for her. Food and drinks recommendation were good and of course the food quality was good. Jane was so attentive that never once my wine glass was left empty - It was always filled and we were always being checked by the staffs if everything was good. Thank you for the enjoyable dinner. :)
"Steaks good, good wine range","Steaks good, good wine range, just really hard to get a table and they don’t take reservations. Can’t wait to go back again!"
Wonderful dining at such an affordable price,"The meals are great at excellent values. We had pasta, pizza and steak. Service is great. A large selection of wines at a much lower the price than what you normally see at other restaurants. Ambiance is fantastic, especially if you are able to get the sitting facing the street with the greenery. Overall, it was fantastic!"
SD & daughter,"We always look forward to our Saturdays at WCHV2. The warm welcome by Gurmit, Mark and their wonderful friendly crew makes us feel right at home! Tasty food at great value and good wines that won’t bust your wallet!"
Nice Steak and ambience,"This wine connection bistro located at HillV2 is serving nice food, so not only wine as the name suggested.
Their special steak sirloin dishes is a good value for money at S$19.90++, and taste nice too, make sure to order it ‘medium’ or ‘medium rare’.
Ambience is nice, service is fast and efficient but can be improved further. The waiters and waitresses need to be trained further on how to serve the dishes / plates to the customers... not from across the table for sure.
As can be guessed they also serve nice wine ..."
Great food and excellent Service !,"Wine Connection HV2 is our go to for a casual dining experience with friends and colleagues. It has a great, cozy ambience and is excellent value for money. Most importantly, the food and wine never disappoints!
Big thanks to Gurjit and his team for the attentive service and consistently good wine recommendations. Definitely recommend starting your meal with their ""fresh'' Burrata. Overall a great dining experience and always looking forward to going back."
"Great food, good service and will be back again.","We booked the place for 13pax on Christmas Eve for our company lunch and all of us had good time. Order was well taken note and served timely.
Great food , economically price on the set lunches which are served the usual menu portion. Servers were attentive and changed our wine glass promptly as we ordered few bottles of different wine.
Good service extended by the Manager and team with a big smile on the face even though the place was busy and with the few request from us. All of us enjoyed our visit there.
Would definitely visit Wine Connection@HV2 again.
Thumbs up"
Like the seafood paella,We’d visited the Wine Connection HillV2 on a Saturday evening. We had a gambas with extra bread and a seafood paella. I like the paella - fragrant and not too wet.
"Great food, very poor customer care","The food was good and they have vegetarian options. The problem was the service, not only was the service slow. Our meals came over 30 minutes apart so when one part of the table was finished the other had not received their meals. The waitress and management did not say sorry or seek to do anything to fix the situation."
"Great food, terrible service & management","The food was well presented and delicious.The problem was that it took over 25 minutes for 2 appetizers to be served while our group of friends came together. We had to consistently ask for our water glasses to be refilled. Then, when main meals were served, it took over 45 minutes from the first main course served to the last in a group of only seven (and the restaurant was not full, it was a quiet night). So most of the group were finished before the final meal was served. Clearly it was forgotten, but the wait staff were reminded 3 times during the meal service and nothing was done until it was abundantly clear that one meal had been overlooked. Meals were served singly or in twos rather the food being managed so that all could have been served around the same time.
Not the kind of place for a meal if you value polite, efficient service. BIG THUMBS DOWN!"
Great service,Come here for dinner. The service is great. The waiter is very eager to help us to choose the wine. Pizza is delicious as well.
Excellent service,"I hosted my friends for dinner at Wine connection HillV2, the manager Mr Gujit has served us well. He recommended the French wine which is very excellent. He is friendly and recommended few dishes for us, which all my friends given a high five. Definitely will come back to look for Gujit."
Disappointed with poor attitude of Manager,"I have been a long time patron of this outlet, coming here at least thrice a week for dine and wine. I used to enjoy the cosy ambience and friendly service staff until recently. Ever since this bistro participated in Eatigo, I have utilized the promotion whenever available. I noticed a change in the service level. More than once, we were rushed for last orders and bill closed before we are done with our meals. These I believed were on the instructions of Mary, the manager, who never failed to throw rude glares at us or blacked faced us. I feel we were being penalized for making use of the Eatigo promotions. This is no Michelin restaurant, hence I do not expect 5-stars service level. However, I certainly do not expect such horrible service acts and I am greatly offended by Mary throwing us black faces. These have become intolerable for me and it’s no longer enjoyable to dine at this outlet."
consistently good,"I m a regular diner here coz I live in the area. Parking or public transport here is a breeze as with spacious quarters where you are sitting too close to the next diner.

service is a bit mixed and slow at times as my daughter finished her pasta before my steak arrived(not great steak by the way)

well located for residents in the vicinity but there are many other locations to choose from if you r living outside the suburb"
Value for money,"Food was good, wine served was not too expensive and it was an enjoyable experience. Visited this restaurant when hillv2 first opened and I've always been back for a good social evening. Thank you!"
Very disappointed with the service. Food are average,"Went there to celebrate my birthday, as I had tried the outlet at Somerset and was very happy about the food and service. However, at this Hillview Outlet, the waitress got the order wrong and yet refused to take back the food. Need to talk to the manager, in order to cancel the order and bring the food that we actually ordered.

Lousy service. Finished the water for a long time and no one bothered to top up. To top it off, gave us the wrong bill at the end of the meal.

should have just paid for the lower cost, instead of highlighting it to the staff. Lol...

Great disappointment. Wonder why such great difference in service quality between the 2 outlets."
Good wine with good food at good prices,"Most restaurants in singapore u have to pay really high prices (2-3x more ) to have a bottle of wine during dinner... One of the reasons why I miss Europe cos wine there is really affordable.

Decided to give this place a try since u can order wine @ ‘retail’ prices so it’s not grossly overcharged...

The food is good value for money which makes this place ideal if u r in mood to have a bottle of wine for dinner"
Bad service - do not go after 9:45PM,"I have visited Wine Connection HillV2 for umpteenth times. Frankly speaking, the food has always been great and I love this place. However, my recent experience was lackluster due to the terrible service rendered.

I searched online and found out that this restaurant is open till 11PM on weekdays so I visited the restaurant at 9:45PM. The staff reminded me that last order will be at 10PM and I have to leave the restaurant by 10:30PM. I said ok and entered the restaurant.

Throughout my stay in the restaurant between 9:45PM till 1020PM, I was repeatedly reminded that the restaurant will close at 10:30PM. It was at least 5 times that different staff came over to remind me of this fact. This made my stay in the restaurant uncomfortable because I felt very rushed.

I ordered 4 dishes: their Christmas pudding, tenderloin (medium well), mussels in white wine, and Christmas turkey dish. I asked them to serve the dessert last (after all other main dishes have been served) but my request was rejected because they are closing soon. Ironically, the first dish that came was the Christmas pudding!

At about 1005PM, I felt rushed and I then asked one of the staff if I can takeaway my food but I was roundly rejected because the reason he citied was he had already keyed in the order. That’s fine and I let it go — I just have to hurry when I eat.

Then 5 minutes later, I was given the bill to make payment (when none of the main courses had been served yet). I thought it was ok so I made the requisite payment first (my folly). And it was only moments later they returned me my credit card and gave me my food — packed snugly into containers and served as a takeaway order. It was a frustrating affair because they charged me full 10% service charge on all my food items yet I had to eat at home and I had received such very bad treatment at the restaurant.

I had asked for a refund of the service charge but I was rejected. To “compensate”, the restaurant manager (Jordan) offered me a free dessert of my choice the next time I visit the restaurant. I took the offer as it was late and I was tired and I wanted to close this matter out peacefully. (Epilogue: Subsequently I went back for my dessert, chocolate lava cake, and the experience was unfortunately not too pleasant.)

All in, I would recommend all customers NOT to visit this restaurant anytime after 9:45PM (though they close at 11PM) for your own sake."
Plethora of wine options; simple main course,"Extensive wine options simple starters and main course. Good staff, fast service, quiet location - would recommend friends."
"Good food, good wine",Went early Sep 2918 for a birthday dinner for family. Friendly service and attentive... Everything is so good and nice. Will come again.
Nice ambiance & food,"Great ambiance with choice of window seating, food was good, they’re now having a wine tasting option ($19.90++ For 5 x 75cl), service could be friendlier and less rushed though (checking to clear our drinks when it’s not empty)"
Always worth to come back...,Enjoying.... A lot. The staff is so warming and friendly.. Always feel that will come back again and again.. Mr Faizal thank you very much .
Awesome place with great staff!,This is my repeat visit and the staff Faizal is awesome to recommend us suitable wine which is perfect for us! Friendly and patient and able to recommend us drinks that suit our budget too! Especially when I brought friends who are appreciating wine for the first time.
