topic,review
Good good & wine & service,"A perfect location at the center of Singapore.
Beautiful surroundings and always a good wibe.

You can choose the seatings indoor or outdoor, at the resto or the cheese bar.

Food is good.
Wine is tasty.
Service is lovely.

I was coming to wine connection for quite some time and still looking forward to finish their wine list one day

See you soon"
Chilled and fun,"My wife and I visit Wine Connection Cheese bar on a regular basis and we always have a good time but this last Saturday was especially good. Cindy, Eunice, Zhi Wei and kuok Wei were fantastic and made sure everyone had fun. Nice to have music back and it was obvious all the staff were out to enjoy the evening and make sure customers did too. The food was also first class, I would strongly recommend the Raclette !! Thanks to the team for a great night."
Empty tables but not for us,"The outlet facing UE2 has 2 sections, one is full the other empty and not in use... it seems to be open but for whatever reason we cannot sit there. That's alright but then close it and don't let us wait for 5 minutes before somebody tells us that area is not in use... for whatever reason. Disappointing"
Filipinas staff being unfriendly,We came around 8:30pm Filipina staff Came to us at 9:30 and told us it’s the last order. After 5 minutes she came back and giving us our bill and she stand there waiting for the payment. Never had this experience that we still eating and waiting our payment already. 9:37 pm the manager came to our table and asking if we are done with our food. This is the food still we trying to finish.
Need cheese? Look no further for your fix,"Wine Connection is a multi outlet brand across Singapore but in this one location are two bars next door to each other: one serving the regular formula and the other offering an excellent cheese-themed menu. Along with the wine, critically, the cheese stock is well maintained and they know how to serve it. Exceptional Raclette is available but you need to get one of the tables where the heaters plug in."
Favourite wine and cheese bar ever!,Love this place. Will always come back. Very well taken care of by the outstanding staff. Lila Ensured me and my friends were well taken care of With her excellent service.
Raclette wonderland,"39S$ per person and you get a huge amount of cheese to melt, accompanied by a cold cuts platter, salad, bread, potatoes. A full and delicious dinner. You will not want to see any cheese for a while afterwards."
Awesome as usual,"Best service still after 8 years of coming here. Quick, professional and great prices. Cheese platter was great and the waiter was very knowledgeable on the different cheeses. Love the wine here. Will always come back."
Attentive service,"I visited the cheese bar to have dinner with my friend. The server, Peter is very attentive and friendly. Very accommodating and patient with our request. The meal is delicious too. I will definitely be back."
Disappointed,"I'm felt really disappointed with Wineconnection. I used to bring my family there to enjoy the best cheese. Ordered total 3 cheese platter. We requested to change our bread to crackers as usual. I don't really like the bread there as we love to eat crackers with cheese. This time round I'm not sure why is it not possible to change. The bread cost is $7sgd , crackers $3sgd yet I can't change? I hope that the option can be flexible as the past time."
One of my favorite places for friends gathering! Indoor cheese Bar rocks!,"ITs quite a few branches of Wine Connection is Singapore but that one is still number one for. They have a lovely indoor seats and It is always a good times and vibes!

Wine is awesome! food is highly recommended too ! Service is even better!

looking forward for the next round!"
Always a great experience,"I try to experience different restaurants but Wine Connection is one of the places I keep coming back to. The service is great, the food very fresh and there is a great selection of wines by the glass and at reasonable prices.
I love the fresh seared tuna and had it in a salad but yesterday on a baguette and it was beautiful. It went well with plenty of red wine from Malbec."
I called a week in advance,"I called a week in advance to get a reservation specially for the raclette as I had heard so much about it. When we got there we were seated in the corner outdoors, it took 25 minutes to get attention of the staff after which we were told we can’t have the raclette as there was not enough power plugs. The staff told us to wait till something cleared up; meanwhile we ordered a cheese board where they missed a few items, which took more time to replace. Someone followed up about the raclette being available almost after we got the bill. Im so disappointed by this experience."
Our Sunday gathers at the,Our Sunday gathers at the cheese bar. My first visit here. Impressed by their service here. We ♥️ the Raclette 🧀. Thx to Neil and Peter for their hospitality.
Raclette chillax,"Best raclette experience in Singapore...on a lazy rainy Sunday afternoon...with friends or alone, good spot for chillax..."
Good choice for wine and cheese,Came here last night for wine and cheese. We arrived around 6:30pm and were lucky to be able to get a table: surprisingly busy. Good selection of reasonably priced wine. We opted for a Chilean Shiraz for $32++ and then selected various cheese plates to compliment this. Very tasty and friendly service too.
Racalette was exceptional!!,"Good to see this restaurant open again after circuit breaker. Half the seating capacity as normal but wasn’t a problem as it was Sunday evening. I imagine a reservation is essential for Friday and Saturday evenings.

Racaltte was excellent and is really the highlight of the menu. An excellent selection of cheeses added to a delightful evening. Food and service were both outstanding.

Great ambiance, good air conditioning and excellent free WiFi. We had a wonderful evening here."
Great cheese!!!,"The service has been fantastic, amazing food and such a nice vibe. Will definitely come again!! Thank you!"
"Great wine, lovely ambience,","Great wine, lovely ambience, great service especially Tam. excellent value and a shop where you can purchase the wine to take home!"
Tam the man,"Great food, ambience and service from Tam. We ordered the raclette which came with large helpings of meat and potatoes and of course cheese! Thank you for a great dinner!"
Amazing selection of cheeses with interesting mocktail choices.,"We ordered the raclette, which came with salad, bread, meat and potato. The raclette was so tasty, and perfect for 2. The service here was amazing, they came to check on us every once in awhile. We also ordered the chili strawberry and the pineapple kaffir made by Tam, which were both interesting and refreshing!"
I always love this place.,I always love this place. They serve good food and wine. And I am especially thanksful to Tam who always provide the best service. If you didn’t experience this place please visit right away!
Lovely spot for after work dinner & drinks,"After recently moving to the area I was finally able to stop by and enjoy a meal at a spot I had been eyeing for a few weeks, the Wine Connection Cheese Bar. Being a lover of charcuterie boards and wine pairings already, the ambiance and attentive service (especially from Tam) was the cherry on top of my experience. Relaxing, lively and such a treat. Keep up the great work, team!"
A great surprise,Found the Connection Cheese Bar a little off the Clarke Quay hustle and bustle. Wine and cheese selections were fun as was the various side items. Service was excellent --- attentive and informative. A special find for an evening for conversation with excellent food.
Great Service,"Our waiter, Jude, was so friendly and attentive. The dinner was delicious and I also loved the mango/ginger drink! We had a great time."
