topic,review
Family lunch on a hot day,"Good selection of different food here. I had the spaghetti vongole, the kids pizza other had hamburgers. All serviced quickly with cheerful service.

Everybody enjoyed their meals in a nice setting.

Only problem came a day or 2 later when I discovered that I had paid for somebody else's (more expensive ) bill. That will teach me to pay more attention."
Exquisite,"A very pleasant, relaxing place ideal to go alone, with your partner or family. The food is extremely exquisite, it is really worth every dollar paid, highly recommended, the staff is extremely attentive and smiling at all times. super yes what return."
Service is rude,"Food is ok, but it’s strange to expect a good European food in Asia, you have to eat Asian food in Singapore. Waiter had to be asked to turn music less loud 3 times. Attitude was rude"
Who does this?,"I am (was) a regular customer for 12 years. Walked over for lunch day and the three tables set aside for outdoor dining were occupied. I asked if they could accommodate me at the other outdoor dining area. “No, we don’t have the staff”. The indoor seating only had a few diners. “Well, we just don’t do that. What if everyone wanted to sit out there?” Hmmm, then Wine Connection would make more money? “No”. So, I went to Prive."
Excellent service,Kudos to Manisha for the excellent service. Enjoyed coming back here due to the friendly service. She makes one feels at home here
Is this a 'rude service' concept restaurant?,"I don't think I have ever received service as bad as what we received here. The words that come out of the waiters mouths, will leave you speechless.

While the staff didn't physically stick their middle finger in our face, that is pretty much their attitude towards patrons. The food is eatable; it isn't bad nor is it great. The presentation however aligns more with the waiters attitude.

If you wanted reasonably priced wine and every other outlet on Robertson Quay was shut, I might recommend this place. However unless you plan on drinking enough wine to black out all memory of the evening, I'd give it a miss."
The audacity of the waiter,"We ordered our food, and told the staff that we will go out for 10minutes.
10minutes later we are back, and the food is already served and cold. We start eating it.
I ordered a medium-rare steak. I get a medium-well done one. We complain, and the waiter blamed us for the fact of going out for 10minutes, even-though we informed the staff. He argue with us and tried to demonstrate that a medium-rare steak would cook by itself while cooling down as the plate was warmish.
He accepted to re cook the steak. With all the audacity in the world he came back with the meat and asked me to check it in front of him. The arrogance of that waiter. Never seen that before. I hate 2/3 of the steak and left a part cool down for 30minutes. It never turns up becoming medium well done.

Such a terrible service and experience.
And they charge 10% for that…

No idea if the food was good or not as obviously such a service spoil the whole experience.

Never coming back again."
Fun concept - A good spot for Cheese and Wine,"I loved the concept.
FOund it on an online search looking for a unique food experience in Singapore.
Choose your cheeses and they make up a platter for you.
Choose matching wines or pick whatever you wish off their extensive menu.
Friendly staff, great service.
Watch them make up the platters in the open front kitchen space.
Nice if you are looking for a change from Asian foods."
Disappointing experience,"On 25th July, we visited this place. It was a such a bad experience from extremely poor service to bad tasting food, worst made drinks. Most importantly the attitude of the staff, our drinks was spilled in front of us but they wouldn't change it, expected us to drink half the quantity and pay full price. Extremely bad design of the app which meant wrong orders but Restuarant wouldn't care. They lost group of us, that week we were planning few more office get together but moved to another location and every party I go, I share my experience. Guess you know what They don't care. It's just a drop of an ocean."
Such a disappointment... it used to be one of my go to places,"My recent visit was nothing short of a major disappointment. No longer the waiting staff know their menu or wine. You simply order using a QR code and that personal service has gone out of the window. We ordered our food. A starter to share and two main courses. The starter came quickly but within minutes our main courses were sent across while we had just started to eat the starter. The main courses were left on our table getting cold. When asked why there was no explanation just that this is what we had ordered. The staff have no idea of how to serve or provide hospitality. I had to show a picture of the wine I had selected before they understood. Very poor for hospitality industry.
Such a disappointment when this place used to be so good. Will not be returning
Wine Connection: Sort yourselves out... the quality of food has also gone downhill"
Disappointing….they don’t get the basics right,"Everything needs to be ordered off the app, there are no hard copy menus and no one taking your order to ask questions to which creates no personal customer service. I don’t understand why restaurants continue to do this still when they are part of the service industry…The wines by the glass don’t tell you which country they are from which is surely a basic part of the description. The starters and mains came out at the same time which meant dishes got cold and there was too much food on the table at once, except for one main which arrived 15mins after the others….The rib eye steak was very fatty, couldn’t eat almost half of it. Disappointing, thankfully it is fairly reasonably priced!"
Shame - you just lost a client...,"I made a reservation online and turned up to the restaurant on time. It turns out that I made a reservation at the wrong restaurant (Unity Square mixed up with Unity Street...). I clearly did not have time to get to Unity Square and so I asked the person at the reception if we could have a table anyway (seeing that there were many free tables in the restaurant) - I was told straight away ""no"" and not offered any other option. Extremely rude and very poor customer service. You may have good and reasonably priced wine, but I will not be returning to Wine Connection anytime soon. We had a delicious Japanese meal just down the road instead! Such a shame."
As good as usual,"As good as usual.

It was a busy Friday and I got a chance to have a table in the evening.

Everything was fast and enjoyable.

The staff was friendly and attentive too.
I forgot the name of the Philippine lady who was taking care of us that night but she did her job well.

Only one thing to mention, you need to slow down on the Lemon juice for your Greek salad . It's like my lemon juice as I'm having every morning. Good for your well-being but...abit too sour for the starter.

Thank you and see you soon"
Might be good for locals. Not for tourists,Looks really lovely. Unfortunately not great for travelers. No WiFi that could function to access the menu so really only catering for locals who have internet.. Menu accessed via QR code so couldn’t access the menu and no hard copy options. 🤷‍♀️
Terrible Service!,"Made a reservation here at 2:30pm in outdoor area. Arrived in the said timing, not busy (3tables taken at that moment) Assistant Manager named Bobby assisting us in indoor seating, my friend told him if we can seat outdoor, and he's pointing a table near walkway and I asked if we can seat on a table that is on the side, and he's telling that the table there is reserved and I asked him I also reserved a table though and I even request for an outdoor. Then thats the time that he allow us to seat on the preferred table. We order caesar with chicken but dissapointing to say there is a big napkin (tissue in the salad that they served to us) *photo attached for reference. We call the Lady server to inform about the salad but she's in personal call and just wave her hand to us like wait. We call Bobby to inform and he just take out the salad and our plate without apologizing and go, never came back to our table at all until we call him because he never replace our plate and cutleries, how to eat the rest of our order if no plate and cutleries? Tell me! I dont know how these guy become assistant manager, dont know how to do a service recovery, honestly shamed on you! Mcdonalds is better that your service! knowing that they are fastfood and wine connection is not. This is the worst experience we had in a restaurant of wine connection."
Wine connection PLQ,"The food is good value for money. I regularly visit this outlet for their set lunch and have a glass or two of red wine to accompany. I occasionally will buy a bottle to drink with the lunch. Service staff provide good service.

Today the visit was not as satisfying. I ordered set lunch with a glass of Merlot, plus an additional glass of Pinot noir. The salad came with the wine and I was about to enjoy the meal when the main dish came. I asked for it to be taken back and to be served after I finish the salad. Manager said it was their policy to serve at same time. He said that during my previous visits the kitchen was probably busy and that was why the main dish came after I finished the salad.

I stopped eating as it is not my style to have to gulp my food to support the outlet policy of rushing food through.

I canceled my lunch to go eat somewhere more supportive of casual dining."
Always enjoyable,"This is a friendly place , the staff is always helpful, very fat service , very good balance price / Quality"
