topic,review
Overrated and overpriced,"Read the reviews and spent a $18 cab there to see how “amazing” it was. It’s a busy place ran by retired pensioners, grumpy lady didn’t get my order right, the beers and drinks have no price. $8 for a beer?!?!? Noodles were ok, spring roll ok.
Disappointed overall, not great at all"
A Delicious Authentic Cantonese Restaurant in the heart of Singapore,"Staying in Singapore for 4 days and looking for a good quality Chinese restaurant. This place had numerous good write-ups as a well deserved and long established reputation for quality, good value food. W camd for an early dinner and were immediately seated by a very friendly and helpful staff. Orders place and the service was quick. The fried spring foll was large, cut into 4 pieces and very flavorful. I had the pork fried rice, assorted vegetables and the sweet and sour pork. All excellent. I can only compare it to a restaurant I knew over 40 years ago where the food was of this quality. The restaurant is nothing fancy but has a great reputation for quality food and they do! As a Chef I will be coming back when in Singapore."
Excellent Food,"Well deserves its long established reputation for quality, good value food. Very friendly and helpful staff too.
Quick service.
My wife thought the BBQ Pork there was the best she has ever tasted.
We both then also enjoyed our noodle seafood, mixed vegetables and the spring rolls also lived up to their great reputation.
Not fine dining but fine food.
Popular with both other westerners and locals"
Excellent food you must try,"Excellent food! My first time here and I love every food served on my table: fried rice, curry, fog leg, vegetable. They all taste so good i could not stop eating up everything."
Our last Singapore meal on our holidays,"We were taken here by a local for our last night before we flew off to the UK. It is our friends local Cantonese with no pretensions - you will either love it or hate it. I enjoy Cantonese food and this is at its rustic peak -a bit rough and ready- but top quality in its way. I loved the prawn dish with big, beefy prawns- delicious."
What a feast! Loved it,My wife and I were recommended to go here from a friend and we were not let down. The staff chose the food for us and it was amazing. Best I have eaten in a long time. Can’t go past the spicy beef clay pot!
Great Chinese Meal,The food and service is excellent. A large menu with a good range of food. The prawn dishes are excellent and pork amazing. A must to visit for a lunch or dinner.
Great place to have Cantonese,"Great place to have Cantonese food. Great portion, tasty and priced reasonably. We had 2 portions of their horfun. Both taste great, the seafood as well as beef horfun had the wok hai flavour. Other dishes such as their daily soup, stir fried dohmio, spring roll, roasted chicken, homemade tofu and sweet sour pork were awesome. Their fried squid was tasty as well. Many dishes such as their duck and charsiew has not been tasted.Popular among locals and one enter from the side of the Burlington building. Service was quick and reservations may be needed because it’s a popular restaurant just behind Sim Lim Square."
Authentic Cantonese Food,Always enjoy the good authentic Cantonese food in this restaurant. Price is reasonable and good service.
Lest we forget.,Just read an article about how the original Fatty helped smuggle food to our starving prisoners of war during world war 11. I will definitely visit when next in Singapore.
The same ole Fattys.,I cannot start to tell you my search for this restaurant for the last 30 years. I had been a patron in the 60’s and I was pleased that the taste stayed consistent through generations. Highly recommended for local delights especially the chilli crab.
Great meal,"Thank you to “Skinny” who served us a lovely meal, and suggested ideas to us. Simple food , well cooked."
Great value lunch,This place is quite famous amongst Flight and Cabin Crews and usually associated with a lot of over eating! However it was just me for lunch and I thoroughly enjoyed my noodle dish and Tiger beer. I had come to this area specifically to eat at Fattys and wasn't disappointed. I hear the salted prawns are good! Just two minutes from Rocher MRT.
Iconic!,"This place is a historical icon on the restaurant scene in Singapore and definitely worth a visit for anyone!

This is my third visit to this restaurant and I'm never disappointed, the food is always outstanding and the service is always with a smile.

This restaurant has been here for years (I think 40?) and is definitely a favourite of mine every time I'm in Singapore."
Childhood Comfort Food,"This is a no-frills traditional Chinese eatery. My family and I have been patronizing it since we were very young. We will have a family meal there for special occasions like birthdays. Here we will order our usual comfort food like the roast meats, combination vegetable soup, sweet sour prawns, fried spring rolls etc.
The quality of the food has never changed although the management of the restaurant has been passed on to the younger generations of ""Fatty's"" family. The food is to die for....."
Superb food at very reasonable prices,"Basic decor, out of the way location, limited drinks offering, average service; absolutely superb food at very reasonable prices! If you’re in Singapore be sure to try it."
Dinner with family and friends,"I’ve visited this place quite often for good Cantonese food (and tastes like how most Malaysians will cook). You need to make a reservation for dinner or it’s not easy to get a table! Pricing is not bad; spring rolls, roasted duck is good and so is the roasted/fried whole chicken (With pepper and salt condiment), salted egg prawns are juicy and delicious! Give anything on the menu a try, it’s good!"
The best.,"We were staying just down the road and made this our local .Great chinese food .We soon found out why it gets so many good reviews.Yummy crab, fish and chicken dishes.Very happy and friendly staff.Pretty spartan surroundings but you dont eat the surroundings.Highly recomended"
"Homecooked feel, not bad","Had dinner here and the food was generally tasty, has a nice home cooked feel and service was good. We ordered a crab which was decent, a steamed fish which was tasty and some vegetables and chicken. Decent."
Fresh and delicious,"Don’t be put off by the look of this place, it is very rustic, nothing fine dining about it but the Chinese food here is fresh, served quickly and well executed. It was super busy on the two occasions I went for lunch but they always squeezed me in without a drama. The staff were lovely, helpful and attentive and the meals delicious. Would recommend to anyone. Just don’t bother opening the towelette they put on the table as you will be charged additional for it. The fresh lime juice is really good."
"Great food, great price!","Great food, great price! A popular place that serves outstanding food. Popular with tourists and ex pats. You are going for the food. Well known with many frequent visitors to Singapore has become an institution."
Fatty’s is really good food in a local city area,"We had been here when last in Singapore and couldn’t resist going back.Fatty’s has been run by Skinny ,his son for a few years.
We had a great meal,pepper prawns,roast chicken ( Australians would call it crispy skin chicken) and yang chow fried rice ( basically egg and pork) and a couple of Tsing thow beers
Don’t go here for the decor but if great local food at a fair price is what you need this is the place for dinner"
