topic,review
Very very rude service who shouted profanity at customers,"The Front Of House at Wooloomooloo Singapore shouted profanity at us!

Our family of 3 arrived promptly at 7pm, and was greeted by an Indian front-of-house manager, who made us wait for 5 minutes whilst, allegedly, trying to find us a seat.

He reappeared only to tell us that we could only be seated at 7:30pm, our booking time. I proceeded to show him my reservation on my mobile phone (below email refers) and, unprovoked, he exchanged profanities with my son. He instigated the exchange by beginning the conversation with “why are you so angry?” (I wasn’t and did NOT raise my voice at any point in time.

We walked away and please do not eat at Wooloomooloo …"
Excellent Wagyu Tomahawk,The wagyu tomahawk was excellently done and was succulent. Expect to wait a bit as the chef prepared it but well worth it. Lobster bisque soup was another great choice we made. Pleasant and attentive staff.
Made our anniversary dinner amazing,Extremely pleasant experience and was served by an amazing manager namely Jenny! She literally made our anniversary a hundred times better. Tonight’s dinner experience was one to never forget because of her. We will definitely return for steaks and of course for Jenny’s wonderful service.
Steakhouse,"Good ambience, and good customer service. Steak was above average. Their bread served in the beginning was good but not the nicer one I have tried in other places."
Very disappointing dinner experience for husband's milestone birthday celebration,"I had dinner here with my husband on 28 December 2022.

Firstly, this dinner was meant to celebrate my husband's 35th birthday (his actual birthday!) which we consider to be a milestone. Having dined at the restaurant before (twice, in fact) and experiencing high standards of food and service, I decided to choose this restaurant to ensure a quality celebration for him. Next, I made my reservations one month ahead of 28 December, and made a request to have a table along the window panels. The reservation team acknowledged my email on 29 November, and informed me that they would do their best to accede to my request. Now, let me share all the things that have gone wrong during this dinner experience.

We arrived at the restaurant on 28 December at 7.30pm. There was already a queue at the entrance, and 3 people were ahead of us. No staff was in sight, and we had to stand and wait for 10 minutes before a staff attended to us and brought us to our table. This is unusual. At reputable steak restaurants such as Cut by Wolfgang Puck and Bistecca Tuscan Steakhouse, just to name a few, there is always a staff at the entrance of the restaurant to welcome and greet the restaurant.

Next, I noticed that most of the tables along the window panels were all occupied. When I asked the staff if we were going to be seated next to the window panels, she told me that all the tables were occupied! I noted an empty table near the window panel and when I requested to sit there, I was told that it was not possible. This is so disappointing especially when I made my reservation and request one month ahead! It really felt like the restaurant did not pay much attention to seating the guests, and merely just filled up the tables accordingly to the arrival of the guests. We ended up at a table right in front of the kitchen, which was not very desirable.

Next, once we were seated, we noticed that our table was very shaky. Just placing our hands on the table was enough to shake it. Again, this is something that we have not experienced in a restaurant that is in a 5-star hotel. We had to call for a waiter to help us and eventually this problem was resolved with some paper placed under the base. I was already very upset at this point in time.

Let's now move on to the food and drinks. I ordered the USDA Prime Rib Eye steak while my husband ordered the Australian Wagyu Sirloin. We also ordered 2 glasses of red wine. We were shocked when we saw that our wines were served in pretty small glasses. Again, this was very different from previous dinner experiences when the wines were served in bigger glasses. Our food also took longer than expected to be served. Once our food came, I stood up to take pictures. However, I had to wait for some time before I could call on an available staff to help me take pictures. In other restaurants that we've been to, if a staff notices guests preparing to take photographs, he/she would offer to take pictures. Hence, it was disappointing that I had to stand and wait for some time before calling an available staff to do so. We then started to eat our steaks. The USDA Prime Rib Eye steak was very tender and delicious upon the first few bites. However, after about 10 minutes, the steak became very dry and it was difficult to eat. On the other hand, my husband's Australian Wagyu Sirloin remained tender and juicy, and he had to switch steaks with me in order for me to continue eating. At this point in time, I was really very upset that what should have been a great, memorable dinner experience for my husband was turning out to be just so wrong, that I had to refrain from crying and had to visit the washroom to calm down.

When I went to the washroom, the manager came over to my husband and asked how everything was. My husband then shared that I was very upset about the whole dinner experience. He then promised to make up for it. When I returned from the washroom, the manager came over to apologise and offered us 2 complimentary cocktails from the alcohol menu, which he said he would personally make. We appreciated his kind gesture, which helped to end this night in grace.

All in all, I must say that this has been a very disappointing and upsetting dinner experience at Wooloomooloo. I had thought that an established restaurant like Wooloomooloo would be a perfect and safe choice to celebrate a special occasion with my husband. However, so many things had gone wrong. For the prices of the menu items, it was really not worth it. Such poor service systems and processes are unacceptable at a steakhouse restaurant in a 5-star hotel. I hope that my feedback can be taken into account seriously, and that compensation is given to us for this upsetting and disappointing dinner experience."
Excellent wine pairing,Been to their wine pairing dinner couple of times. I m always impressed with the fantastic food ( special thanks to the Chef) plus the meticulously chosen paired wines. My friends and I are always well taken care of by their team of well trained staffs.
Birthday Lunch,"My wife booked this as an alternative to places we usually frequent. The place looks good, it has a decent menu. The food is okay. It's nothing to write home about. What really lets it down is the service. A long wait from ordering our initial drinks, as well as in between courses. A mix up between my order and my sons order didn't help. In all I got the impression from them, that it was all just a bit too much of an inconvenience that we were in there trying to order food and spend money. I won't be back"
Tasty and Yummy Meat,Had a wonderful family lunch and was delighted with the portion of freshly and well cooked meat. The service was warm and attentive.
Visit on weekday lunch,Lunch set was value for money. Restaurant had Good ambience. Service staff was attentive. Would definitely go back if i had the chance! Perhaps for dinner.
Always delicious food,"I've visited this restaurant about four times and every time there was always a good thing for me. This time,I met my friend couple for the first time in almost 10 years and had a good time."
