topic,review
Good Food,"My family went there for lunch two days ago to celebrate my sis. birthday. Wow, what a surprise. Ordered 10 dishes. Food was just awesome. Just want to say that the roast pepper chicken a bit tough, could be better but overall we did enjoy the food. Mum esp. commented the abacus seed has lots of flavour and ingredients , abacus seeds which came in not so many pieces were really soft ! Prawn chill crab came with 3 pcs of mantou but there were 7 of us so they are so nice to give us extras w/o charging. Same goes for Prawn ball that came in 6 pcs and they made extra pc for our table. We will come back again for sure."
Nice food,"Ordered Hakka Abacus , fried olive rice , prawn ball and fried yellow flower fish ( croaker) . Nice food except fried rice on salty side from ingredient like salted fish and seasoned shrimp . Else all be perfect"
Noodle broth was bland,"Been going to this restaurant at different locations. My guests complained the broth for the noodles was bland. Very disappointing. Previous times, my guests liked the food. Guess the quality dropped."
Food is great and pricing is reasonable,Food is great and pricing is reasonable. My parents like the traditional hakka chinese food. Every dishes we have ordered so far are above what we expected. So 👍
Great food at very reasonable prices,"A great place to have local favorites like yong tau foo, fried carrot cake, tong po rou, Hakka abacus (suan pan), with a different rendition from what you are more familiar with at food courts and hawker centers. The casual ambience adds to the dining experience. Service is fuss-free and efficient. Great place for a family meal or one with friends."
Decent pricing and good food,"Servers are friendly and the pricing is good for the quality. Only hiccup is the food arrival. Even though we were told that our order of fresh steam fish would take time, it was way too long like 45 mins. The other dishes were served promptly and waiting for the fish kinda missed the enjoyment of all the dishes together."
"Eating well, simply","Id recommend XiYan if you are looking to eat ""well"" simply, or when you want to eat simply ""well"".

Ambience is cosy.

Service is no fuss but attentive. With shortage of service manpower being blatant all over town, the two who hosted and waited on the tables that night did a good job, did not make us feel neglected throughout the night.

Menu has something for everyone.
Not extensive but there are enough picks. First timers, if you wanna try more dishes, go in a good size of 4pax.

We were fully satisfied with the fish soup (modified, minus the carbs), 2 vegetables, 2 meats. We could have done 1 meat and still be filled, to trim the bill for 2.

So glad we did not miss sharing the matcha black seseme tang yuan in ginger soup - absolutely divine. They served us 3 balls instead of the usual 2.
1 each for sharing.
1 more to make ""double pleasure"" - who could refuse a good tasty well cooked fragrant tang yuan in sweet hot ginger soup ?

The usual dietary requirement of No MSG, low salt and less oil, was not necessary. But we could still and XiYan accomodates it.

My guest is a repeated customer. First timer, i am planning my next for the ""fish soup"" and ""fried pork strips"" yums!!"
OMG It's SOOOO GOOD - Go ahead and OVER ORDER!,"Our party of six had not been back for a while and was craving some of the usual suspects. We ordered like we hadn't eaten for a month, and the waiter came back to suggest that we scale back our order. Undeterred the only thing we did was reduce the carrot cake order from medium to small. When the food came - it was a blur and before we knew it - everything except for two dishes had leftovers to be packed. Every dish is a sensory experience and unique. Must order: XO carrot cake, salivating chicken, chilli crab prawns, lou shi fan, pork trotters bee hoon, abacus, bitter gourd, eggplant claypot."
Rather disappointing,Service was rude and ambience poor - no crowd at all on a Sunday evening. Not a good place to bring business guests.
Always on my mind if I am looking for Chinese food,"Every time I visit with friends, they are all so happy with the taste and quality of the food. > Duck - yummy > Steamed Fish - very fresh and tasty >Tofu with ChaiPoh - delicious >Vegetable - cooked just right"
Zi char,"This used to be chinese fine dining at keong siak road and now evolved into a zi char place. Food is ok, and service is below par. The teeanager waitress is so disinterested and over it"
Always so good!,Another delightful lunch bringing a friend there for her first time! The CKT is so ‘char’ and the generous amount of sausages and kway teow is another notch up for us! Service and food make it simply so wonderful being there. Keep it up!
Good Price for Good Authentic Chinese Food,Good Price for Good Authentic Chinese Food Friendly staffs and nice place to eat and chat Will come back for more.;)
Meal @ Xi Yan Shaw,Not too bad ; food is basically zichar but in a nice air conditioned place. Service is not too bad. Esp one very friendly and pleasant waiter. Last part dessert was spoilt by smell of 'chicken soup' Could be using a ladle that was used to scoop something with chicken on it. Desserts were the glutinous rice balls with peanuts/sesame.
Excellent food at a reasonable price,"Very generous portions combined with very high quality. Those listed under ""Chef's recommendation"" are probably very safe bets. Menu is quite comprehensive. Cuisine is a mixture of differnt regions. Service is of an acceptable level. We went back to the same restaurant twice in a week after stumbling upon this gem!"
A Casual Chinese Dining Place,"From Singapore to Hong Kong and back to SG now, the homely Hakka taste of Xi Yan has never failed us."
Good food at good price points!,"First time trying out this eatery. Wont be the last. The food was delicious, even small/medium portions were more than enough for 4 pax."
Needs refurbishment,The standard has dropped slightly but still good tasting. There were also tiny cockroaches in between the sofa seats on the right to the entrance. The dining experience was spoilt.
Lunch,Food portions were big and great value for money. Service was brisk and efficient. The quality was as expected of the establishment and brand.
"Excellent food, generous portion","Haven't had hakka food for a long time. Dishes were delicious & generous portion. My must have would be the ""suan pa zhi""... really enjoyed such traditional dishes. Service was good, probably there wasn't a crowd yet. Would love to support them, you should too!"
Always great!😊,"Always love coming back here
Hits the spot every visit. their bitter gourd is one of the faves. Really enjoy their char kway tiao with lapcheong (hope hk lapcheong stocks come back soon) ! Will be visiting again
Also shout out to the waiter and chefs in the kitchen for making our visit very pleasant, food came at a timely pace, fresh, hot, and super tasty (as usual)"
Best dish was the yong tau fu!,"Went to Xi Yan a couple of years ago and thought the yong tau fu was really good, so was keen to return again. We went on a weekday lunchtime and it was pretty quiet. Ordered a few dishes including the YTF which was just as generously filled, plump and delicious as before – defo recommended! We also had a veg dish which we enjoyed (can’t remember the name of the veg). Sadly, the other dishes were not as good - we had the yam abacus which was a bit wet for our liking, and also had weird ingredients like onions, which we have not seen in other yam abacus we have eaten. We also had a bee hoon dish which was way too sweet. Not sure whether it’s the addition of onions in these dishes which makes them sweeter than they should be, rather than savoury. Xi Yan’s interpretation of traditional dishes can be interesting but it also doesn’t quite hit the spot on some occasions which is a shame."
Good hakka food,Reasonable ambience nothing fancy But good hakka food Pregnant woman rice was tasty and the fried bitter goud was excellent Service was very good and warm
