topic,review
Cold Beers,We stoppedin on New Year Day for cold beers. Good service. Clean. Food looked delicious...give it a try. It's close to the Maxwell mrt station
"Local, quirky and great food","Great food and ambience, expensive drinks but we guessed thats due to the location in Singapore more than anything else (3x the price for the same beer v at another restaurant earlier in the day)… so the alcohol cost is the only reason for a 4/5 v a perfect 5 score. Loved our meal and the evening at this neat neighbourhood restaurant, would recommend."
pleasant experience at XYT,"had a birthday celebration at xiao ya tou - the food was good. we ordered the lobster kueh pie tee, crab omelette, truffle roast duck, spinach soup and hokkien mee and everything was cooked to perfection and was sooooo fresh. the best part was the service. the staffs were so nice and patient and provided really good service. 10/10 recommend and would definitely go back to try their other dishes."
"Overpriced, decent food, skip the drinks","Chinese Mod Fusion along Duxton Hill. More bar like (with overpriced beverages such as $10 Thai Milk Tea) but food is pretty decent and interesting.

Generally old-school decor, nostalgic posters on the walls, 90s music in the background, 80s crockery.

Food in descending order of preference:
- Lobster Kueh Pie Tue (must order)
- Hokkien Mee (atas version with scallops, most importantly got wok hei)
- Brussel Sprouts (caramelised with smoked pancetta, bacon makes everything yums)
- Otah Rolls (spring rolls filled with otah, crispy without being oily)
- Truffle Roast Duck (nicely roasted and tender, truffle part abit extra, think it would have been nicer without the truffle)
- Deep Fried Hakka Chicken Wings
- Kurobuta Char Siew (too charred & caramelised until bitter)
- Xiao Ya Tou Pork Dumplings (not awful but not wow. Just like any other 红油抄手 you can get out there at less than half the price)
- Cocktail Unrequited Love (truly unrequited, just can't love this)

Probably still worth returning for some of the food but not the drinks."
Cannot justify the price,"Food is decent but I can’t justify $32 for a Hokkien mee. The portions aren’t that big too, $32 Hokkien mee probably for one person of you share it with another pricey dish. It’s nice that it’s dog friendly for outdoors seating"
Gem of Place in Singapore,"We’ve been here a couple of times and both times, the food and service has been phenomenal!
Some of the best Asian food in town (a bold statement I genuinely stand by).
There’s good vegetarian options including the Tofu Puffs which were insanely good and the locally inspired drinks are delicious too! Particularly love the Sour Plum and Calamansi drink.
The restaurant has a nostalgic feel with scattered memorabilia that is likely to remind you of your childhood and it has a real warm vibe.
Will definitely be returning!"
Xiao Ya Tou,Food is ok but way too expensive for the quality. Service was good but doesn’t justify the price. Will probably not go there again
Old school retro local restaurant,"Not old enough to know how Singapore’s 60s, 70s look like. But the decor in this restaurant is probably quite close to the representation of that era. Very quirky and very retro. The menu is also a homage to most local cuisines but with an added twist. Imagine hokkien mee with scallops and beef hor fun that is cooked with wagyu beef."
Perfect night with friends,"Firstly the staff are amazing, super friendly, super helpful, and just lots of fun. The food was incredible especially the brussel sprouts. To top it all off the bill was very reasonable. A brilliant evening and I will be back, I want to take all my friends!!!"
"Awesome food, wonderful service!","The ambience was nice and the food was great! But what made the meal so enjoyable was the great service rendered by the service team. All of them were welcoming and attentive! My friend broke a glass and cut her finger. The service team promptly stepped forward to clear the table, helped us with cleaning the wound, and replaced the cocktail without charges. We are really impressed!"
Hands down our best meal in Singapore,"We absolutely loved this restaurant. Quirky interior, great vibe, wonderful staff, but most importantly the food was incredible. We particularly liked the truffle duck fried rice. Special shout out to our amazing waitress nee ping (so sorry if that's spelt wrong). Would have come back for dinner if it hadn't been our last night! Also worth checking out their sister venue, a cafe called Symmetry near Kampong Glam."
Down-to-earth choice in Duxton area,This place has eclectic old-school decorations with old toys which makes it a treat visually. The food is also good (though some might think it's overpriced Singaporean food) and the staff were friendly and able to make great recommendations (e.g. the Hokkien Mee) and advise on portions.
Kitschy cheeky,"Xiao Ya Tou, Duxton Hill: Kitschy cheeky Xiao Ya Tou will send you into a nostalgic spin when you are seated. There’s an overwhelming lot to take in - it’s a kitsch museum blast of the past, of all things homage to the Singapore’s yester years. I absolutely adore how kick back it is and the tongue in cheek humour starting with the quirky drinks. Opium is whisky oddly infused with plum juice. It’s definitely a strong acquired taste as is the real opium I reckon. There’s also a female torso cocktail cheekily topped by 3 2 massive lychees. We will back for more humour! #eatstylishtravelstylish"
Yummy Tze char in an unique ultra retro setting,"We were most impressed by the decor and the vibes (emanating from the tables and walls including ceiling) - probably the most retro local Chinese ambience for a restaurant pub in Singapore! Well done!!

The menu is only one page; it’s as colourful as the decor. We had braised baby spinach soup, the only soup offering. It’s good enough for three or four people. The wagyu beef hor fun was packed with wok hei - it actually tastes very much like a good char Kway teow with pork lard even! Lobster Kway pie tee was unusual but an excellent appettizer. Pork jowls was excessively colourful and it was nothing that we have tasted before.

I intend to come back with my mum!!"
"Great food, nice decorations","Nice food and atmosphere. Customer service can be slightly improved. We like to order few dishes at the start, try the food first only continue to place second round of food order."
