topic,review
A good venue for celebration,"Good food to celebrate the coming spring festival. Even better was the attentive staff who have provided very good personal service despite the crowds. Please convey my gratitude to the staff, Fanny, Yoke Khuen, Kar Woon, Kihki, May, Carmen, Juy… and also the kitchen staff for their culinary skills."
Authentic food in Holiday Inn Atrium,"Authentic Cantonese food, we ordered their signature duck, house noodle, soup vegetable and tofu claypot and all tastes great. It seems they recently increased their price compare to the online menu and we came to about $50 USD per person."
32 Years Old Restaurant That Serve Cantonese Cuisine,"Operating since 1990, this 32 year old restaurant still serve great authentic Cantonese Cuisines, especially their Dim Sum dishes … with old flavours.

Like their Yam Dumpling with Chicken & Seafood fillings shaped like a Duck (Able to feel the texture and taste of each well flavoured components in the fillings after bitting through the crispy crust).

Was also Wow by their Radish Cake with Preserved Meat (Went well together, both presented with good texture and taste), Brown Rice and Glutinous Rice with Chicken (Enjoyed every bite - it was Awesome! With no issue of Glutinous Rice sticking to your teeth as there are mixture of Brown).

Egg Tarts were average, crust abit hard but fillings soft and not too sweet. Salted Egg Yolk Custard Buns didnt looked good but were comparable or slightly better to others.

X.O. Yangzhou Fried Rice from their main menu was also average as rice was abit too moist and lack flavours. Sweet and Sour Pork was great though (Well executed .. good texture from the mix and flavours from the Savoury Sauce)

Overall it was a great Sunday Lunch at this restaurant, but experience could have been better if they could have sufficient trained staffs (Not overworked Staffs) to handle their weekend crowd (Even though its not filled) or at least be attentive to every table, not just big table in private rooms."
"Tea smoked duck, whisky and excellent service","Came here with family to celebrate a birthday. Food was excellent. Service was great. To top it off, there is no corkage on the first bottle of whisky.

The tea smoked duck had subtle sense of tea that brought out the sweetness of the duck.

The yuzu pomelo prawns was very unique.

The appetizers, roast pork and white bait paired very well with whisky!"
Good dim sum lunch & excellent service,"Steam pork ribs were meaty, only few bones. Dace balls were tasty & succulent. Service was great & fast. We really enjoyed our lunch.."
Good,"My friend recommended me to come here, no referent, food is good and love the lobster noodles and dessert"
Good,"Food is good, waiters very friendly and approachable Environment good Not very crowded, 10/10 will visit again"
Dinner at Xin Cuisine,"Was a nice and warm restaurant. Very good for family dinner gathering. Celebrating my birthday as well.

Carmen was the manager in charge of my table. She was very well versed in the menu and recommended the right amount of food to us.

Just nice and just like Xin Cuisine. Nothing overboard and is just what a nice dinner should be.

Good food, good ambience and good services.

Thanks Xin Cuisine, Carmen and her team."
Family dinner,"Have a good dinner. Kids friendly Portion of good was reasonable, and was accessible as near to mrt."
Above average,"Second visit, the braised live lobster ee-fu noodle was almost good.
The braised abalone, sea cucumber, prawn, mushroom and roast duck served in mini pumpkin was above average.
The poached sea perch with Chinese rice wine was just okay, could taste a bit of fishiness.

Nice ambience and normal customer service."
Dinner Gathering with friends @ Xin Cuisine at Holiday Inn Singapore Atrium,"Food is awesome and Restaurant team with Excellent service (Carmen, Ivy & May) 5 Star service😉💯 We will definately come back again to dine in and recommend to my friends and relatives."
Birthday celebration,"Excellent food and service! Little known gem. Good value for money:) the mango pudding and the roast pork, and duck are worth having. Please order :)"
Great food and service,Service is good and food that we ordered all of them taste delicious ! Recommended place for friends and family.
Friend’s gathering,Great food!!!!! You have to order the trio platter to try.. The mango sago was a great dessert after.
Value for money,Excellent service and delicious food. Great place to celebrate special ocassion. The miso fish and Wayu Beef is a must order.
Good dinner,"First visit, the stir-fried lobster with egg white and crab roe was good, but the broccoli which was part of the dish was a bit too hard for me.
The Xin's crispy roast pork with mustard dip was good too, seldom ordered dishes that are easily available in the hawker centre stall, ordered this because of the good reviews here.
Deep-fried sesame ball with red bean and chocolate liqueur filling was above average, didn't like the liqueur taste.

Nice ambience and normal customer service."
Great experience,"First time here and I must say....the food is awesome! Especially if one is a fan of duck, most definitely will love the taste of the Peking Duck (北京片皮鸭) and the Home-style Roasted Duck with Tea Leaves (故乡茶皇鸭), and how well it's being made. Their Peking Duck dish is slightly different from the usual I have in other places, as it comes with this squarish crispy stuff as one of the condiments amongst the common rest.
As for the rest of the dishes, taste was just right. Really a Cantonese cuisine place where if you are hunting for a place for the older folks, this will be it.
For the desserts served, I certainly have no qualms about it. The Chilled Puree of Mango, Sago and Pomelo (杨枝甘露), although the outlook gave a ""too milky feel"", the taste turned out otherwise and it's yumz! As for the Deep-fried Sesame Ball with Red Bean and Chocolate Liqueur Filling (酒酿煎堆仔), do note that before sinking teeth into the sesame ball, give it a little 'shake up' to ensure the liqueur and red bean filling mixes well together.....otherwise might end up tasting too much of the warm/hot liqueur, making the whole dessert taste too overwhelming for delectable satisfaction.
My next round of trying out at this place will be for their dim sum....looking forward! =)"
Under rated Cantonese restaurant,"Refined, quiet Cantonese restaurant on the 4th floor of Holiday Inn Atrium hotel. The food we tried were well executed and reasonably priced - in particular, roast duck with tea leaves, kung pao chicken, bean curd with prawns and sea cucumber, and crab meat fried rice. Food arrived quickly, and service was good. Will return."
