topic,review
Delicious!,It was a pleasant dining experience. It was especially heartening to see the staff giving their level best to meet the customers' expectations. Their passion was palpable.
Food not as good as thought !,"Really very disappointed with the Peking Duck. Firstly, the skin to wrap the duck was cold and was wrapped very loosely. The sauce inside the wrapped skin was not sufficient. There is no extra serving of sauce on the table like most restaurant do that. The duck skins itself was not nice. The side dish - silver fish was very salty. The E-FU noodles was not nice and tasty. Overall was very disappointed."
Lint from napkins,Brought the family here for Dim sum lunch. Recommend not to wear dark coloured clothes because the napkin left a lot of white lint on my shirt. Maybe the restaurant can provide a lint remover or look into the state of their napkins.
Unpleasant Dining Experience,"The food was nice however the dining experience was not very pleasant as the staff clear the plate without asking, i still need the plate, the staff should have ask first before clearing them. They keep clearing the plate non stop without asking which is very pressuring to leave the restaurant quickly which does not justify the value of the price with the service they offer."
Nice Ambience,Food and service was good. Quite place to have a good meeting though spotted a gentlemen picking his nose and swing of his nose picking by the side of his seat and a lady picking her teeth without covering her mouth. Lucky we had finish our lunch.
Good Ambience & Decent Food,"The place was cozy, good for catch up over meal. Food was decent, except the Peking Duck, which was not exactly hot when served to us. Overall not too bad for my experience here. Just that the staff are very eager to clear the plates once they see that its almost empty."
Disappointing experience,"Came here to celebrate my partner’s birthday but we were extremely disappointed by the whole experience. Considering the high price point of this restaurant, we were expecting delicious food and good service. Unfortunately, the restaurant fell flat on both fronts. The food we had was extremely mediocre. We ordered their signature peking roast duck, superior chicken broth with fish maw, claypot prawns with fish maw and vermicelli, and a stir-fried kai lan. Out of all the dishes, we only found the claypot prawns with fish maw and vermicelli good. We found the soup too salty and the texture of the wrap provided for the Peking duck dish too thick. The service provided was also so bad for a high-end restaurant that we were both shocked. From the moment we stepped in, we felt extremely unwelcome by the staff there. After bringing us to our table, the male server just walked off without even bothering to tell us that we were supposed to scan a QR code to access the e-menu. The QR code was displayed on a tiny decorative plant on the table which was not obvious at all. If we were not observant, we would have completely missed it and still be sitting there like idiots waiting for physical menus that we would rightly assume that he would be bringing to us. We don’t have a problem with e-menus at all but the least the staff could do was to inform us about it when they seat us. The server also seemed very unfriendly and impatient while taking our order and serving us the dishes. He did not smile or make any eye contact at all. When serving the dishes, they just dropped off the dish near the edge of the table and walked away immediately. No effort was made to even just say the name of the dish or place the dish closer to us to make it easier for us. The vibe that we got from the service staff throughout the dinner was that they just couldn’t wait for us to leave. We initially wanted to order dessert but eventually decided against it because we felt so unwelcomed by the staff. It was really such a disappointing birthday experience and I feel like we paid such high prices for nothing when there are many better Chinese restaurants around. We definitely won’t be coming back after this experience."
Appalling lunch service,"No greeting at our arrival set the tone for our final meal in Singapore. No printed menus were provided and the supplied QR code was difficult to scan in the poor light. We chose the lunch set menus and asked for oolong tea and was delivered jasmine tea.
The food was good but the pacing of the dishes was poor. The dim sum was delivered to cool at the table while we finished our soup.
After the final course we were informed that the register was closing and we needed to pay. It seemed we were an inconvenience and they would have preferred we ate somewhere else. Rest assured we won't be returning."
Feedback for improvement,"Don't enjoy the lunch at all. I have made this reservation a month ago for a birthday celebration. To my disappointment, the table that was assigned to me was in the middle section next to the counter. All 4 or 5 tables in that middle section was empty except the table was assigned to my family. The service was very poor. Waited for almost an hour before the mains where served and most of the dishes were very salty and bland. The dishes were not well presented especially the dim sum trio. Overall experience was very poor!"
unfriendly service,We went there for dinner and were not friendly received at all. The food was good but the service gave you the feeling that you are not welcome. We will not go back again
