topic,review
Highly recommended for good service and food.,It's was amazing dinner and service. We visited there without reservation and it's full house the host Vikines was very helpful to get a table for us. He's really kind and professional as we thought he was manager. Unbelievable he's a host really thanks to him and his wonderful service. We had good food which highly recommend the fried chicken. And Mac and cheese. We will come back. Well done.
Yard bird mbs,Nice environment & delicious foods to enjoy with family. Especially the fried chicken with watermelon & waffles
100 % dining experience,"This is the first time visiting this restaurant . Environment, dining experience, service crew all 100%"
Consistently good!,"This is our “go to” restaurant at MBS. Food is great, ambiance is perfect. Love their chicken!
Excellent customer service, the staff are very attentive to your needs. Special mention to their Assistant GM Jonathan Comia for consistently giving us 5 star service and he is very hands-on to his customers."
Average,"The Yardbird is fine, no great and definitely not bad. Limited menu choice for a restaurant claiming to be American and I'm sure there must be better alternatives in Singapore."
Great food and service,"Went with my family for diner. Reservation was easy and ambience was great. Good variety on the menu. Portions are big, it's good to share. Great drinks offered too."
VERY CONSISTANT,"The food, the service the experience is ALWAYS over the top! I have strict food allergies which makes it very difficult to dine out but not at Yardbird. They really listen to and comply with what I want which makes it so sorry to eat there.

Thank you Yardbird"
Anniversary Dinner,Food was great and good customer service. Will definetly recommend and drop again soon. Was provided with complimentary dessert for anniversary.
Very Satisfying Experience once again! Never fail to impress 👍,Excellent Service Rendered! Very attentive and help to change plate without us asking for it. Great hospitality and make you feel warm and welcome….. keep it up 👍
Enjoyable dining exp at Yardbird.,A restaurant that offers great choice of ambience - outdoor with CBD view or quiet indoor aircon. The food servicing is of good portion and quality. Cocktail and beer are pretty good too.
EXCELLENT SERVICE AT YARDBIRD,The service by staff Wee Ping is immaculate! He sure knows what service quality means. Thank you very much.
Must try - fried chicken and waffles with spiced watermelon,Superb fried chicken and waffles with spiced watermelon! Repeat patron. Remember to have their chicken with their in house bourbon maple syrup and hot sauce. Their crab cakes were good too. Good to make reservations as they can get quite packed on weekends especially.
Mr,Fresh experience and good food and environment Friendly and helpful staffs with good recommendation Restaurant also easily accessible and with indoor and outdoor setting
Nice ambience and great food,First time visiting Yardbird after seeing so many good reviews. The ambience is very nice and staff are friendly. Ordered their popular Chicken n Watermelon n Waffles and the Lobster Mac & Cheese. Both taste good! Overall a great experience!
Very Dissapointing,"I am dissapointed, we went on Xmas Eve for dinner. I had a 9pm reservation and was happy to start dinner.

Food was good I must say, the floor staff service average but they tried. I do know that it was xmas eve and it was hectic and busy for staff (that is why you open a restaurant business right?) but here is why we were dissapointed- the entire time we had our meal and conversation there was one kitchen staff shouting at the top of his voice the orders, and it echoed in the dining area, we could barely have a decent conversation.

Wait, you will say kitchen is noisy.

Which kitchen is not?I dine out a lot, I do not hear other kitchen staff yelling non-stop at other places.

We raised it with the waitress, she just smiled, thinking it was funny.

Anyway, such is life."
Good dining place,Good food and friendly staff. Enjoyed the dining experience and we loved the environment. Drinks are good as well
Great Chicken and a good selection of Bourbon,"This was not our first time, and it was as good as ever. It's a great spot to enjoy good quality food with friends over some drinks. We were there for a bout 4 hours and enjoyed every minute."
Outstanding chicken,"Loved the chicken, and also the other adult-friendly and kid-friendly options. Biscuits and cornbread are also great."
Lunch with the kids,Quality comfort food in quality environment. Never disappoints and the staff today was attentive and very responsive. Highly commendable.
Bday lunch,"Another great experience at Yardbird! F&B were great, but service was even better! Well done and keep it going!"
Yardbird,Good experience with friendly staff! Love the ambience and food was great too. Will come back again for sure!
Perfect night,Visited for friend's birthday- always love their signature great American burger but decided to try out barramundi and tea braised beef. It's as tasty as any other favorite! It's gonna be challenging what to order for my next visit!
Business Dinner,"Good service, professional, thanks. Food presentation was great, quality is good. There is even a separate vegan with a lot of choices."
"Ambience, large selection of drinks","Come here for the ambience, service and drinks. Food wise, it is… at best okay for me. Nothing to shout or rave about or win awards for. chocolate cake sounds better than the taste - too rich."
"Excellent food, attentive service","Excellent food, attentive service. We opt for the Tasting menu, it was awesome. The staff, Ikhlak was attentive. Thanks."
Anniversary Dinner,This is my first visit and many more to come. Food was scrumptious and services was excellent. I would recommend dining at this place. They made my day so special.
Mr,"Very courteous staff and nice food, will come back again lots of good food to chose from nice ambience staff very patient and we can feel like dinning a great experience with many variety of food to choose from"
Yardbird,"Mylene and her team always make sure my visit is memorable and joyful one. Yardbird is my first choice restaurant at MBS to host my guests or family event and each visit comes with good surprises as well as laughter and cheers.
Not forgetting the food and drinks which I’ll order without browsing through menu because the staffs know what I want. Well done Yardbird team and keep up the “achieving excellency” service!

Francis"
Thanksgiving,"Food and Service were both excellent!! We opted for the Thanksgiving set menu and it did not disappoint. The turkey was juicy, and all the sides were traditional to what you would cook at home in the U.S."
Top American Cuisine,"A lovely restaurant with great staff and amazing food. Surprisingly big quantities for good prices, which I was not expecting in Marina Bay Sands."
Watermelon chicken and waffles!,"Ate here on a family birthday celebration. Food was absolutely amazing. It is on the pricey side but you get what you pay for. We had the famous chicken with waffles, a steak and also ordered the lobster mac n cheese. The food and service were unparalleled and impeccable. Only con was the fact that although my rewards card was taken by the waiter but in the end no points were added. Unfortunately I was too trusting and never checked till a week later and by then receipt had already been thrown and it was too much of a hassle to go back and ask for it."
Birthday celebration,Service was good and food did not fail us. We enjoyed our time there. If could suggest something for birthday girl would be perfect.
The best new #1 place to dine in Singapore,"Yardbird prodly attest to itself as setving the best fried chicken in Singapore. A tall order considering we are well-served by the hordes of korean fried chicken as well as texas fried chicjen, kfc, jolibee etc.

We were well taken off by Nicolas, the jovial GM who came by our table a few times during the evening to check how our dinner was going on etc...perfect example of his sunny Spanish temperament.

We ordered the house favourites of fried chicken waffles & watermelon, american big burger, smoked ribs, truffle chicken, butter lettuce with grilled mango, grilled brussels sprouts, french fried with bscon salt and finished with fried oreo ice cream and gigantic bacon choc cake.

First warning - the portions are American-sized.
2nd warning - the fried chicken are really really good...esp at first few bites. But have to eat them fast as the batter doesnt take too kindly to our humidity but it was crispy, super-flavourful and indeed a winner. The waffles were not the crispy kind, more doughy than what we liked but the bourbon maple syrup was smoky with a strong hint of bourbon...
The smoked ribs came with its own smokey theatrics, but the American apple wood smoke was just heavenly. The ribs were of OMG standard, literally falling off the bone. Coated in the sweet sticky savoury sauce, it was wiped off the plate. 8 ribs gone in no time.
The American burger came fully loaded with 2 huge beef patties plus a smoked pork belly layered tall and mighty with cheese, lettuce condiments etc. As good as any gourmet burger out there.
The truffle chicken was also huge and smelt amazing but compared to the fried chicken, the fried chicken easily trumped. The grilled bussels sprouts (for someobe qho abhores it) was also smokey, crisp and delicious.

We were curious how does savoury bacon fit into dessert. But this was no ordinary fried bacon. Bacon that has been candied in honey, fried to a crispy brownish black and sitting tall on tip of a decadent choc layered cake abt 12 inches tall. This is a family sized slice of cake. 4 of us couldnt even finish half of this sinful but utterly delicious cake.

This has been an amazing dining experience at this unique restaurant. Away from the usual Jap gourmet places or korean bbq or even plain vanilla michellin degustation menu. This Southern American cuisine is hearty, delicious and a totally unique offering. Fantastic food plus first class service with an amazing classy ambience, this gets our vote as 2022 best new #1 restaurant to eat in Singapore. Nicolas runs a tight ship!. Kudos."
Worth the Walk in the Marina Bay Sands Mall for Great Food and Friendly People,"The Yardbird burger is American size and high on taste! The highlight for me was the buttermilk biscuits! So tasty! However, the best thing about our meal was the service, friendly, efficient and responsive. People were there to answer our questions, get our order and learn more about the food and pick up our plates they did it all! Amazing service led to an amazing experience!"
Happy Sisters Night,Our sisters night was so enjoyable. Great food and super nice ambience. Great and prompt service from Jonathan and team who ensured our night is more than pleasant. We will definitely go back again soon ! Thank you.
Lovely Birthday Celebration,"My friend made a reservation @ 9pm for 4pax, however we are 45 mins early. The friendly lady manager ( Hazel ) quickly accomodated us a table upstairs outside ( thankfully good weather too ) , overlooking the amazing view and settled us down for a table of 5. Kudos to Ruzzle and Jonathan who ensured our celebration was a great one for that 2 hours before we head to marquee ! Nonetheless , food was good and consistent, service was prompt and top notch . I’m simply glad they remembered tiny detail like a candle and words written happy bday including my name on the dessert plate ! Would love to go back again soon ! Thank you Ruzzle and Jonathan once again !"
Awesome service,I came to celebrate my fren's birthday and staff Ruban recommended awesome cocktails to us. We were very happy over his plesant service and his awesome recommendations of cocktails. Looking forward to come more often. Kudos to Ruban. Keep up the plesant service.
"Friendly and Attentive staff (Ikhlar), food is good",Have a pleasant evening at yard bird because of the staff Ikhlar. He is very attentive towards our order and he even go all out to make sure our order is good and even got us a birthday cake. His service is tremendous and highly recommended :)
Don't go in close to closing,"Got there after a long day as a walk in. The food here was very good and the service was good. When it was time to close they were pushing people to leave. I know what it is like because I worked in the industry for a long time, but never asked people to pay before they were done eating their meal."
Birthday Celebration at Yardbird,"Had a sumptuous meal at Yardbird to celebrate my mum’s birthday. Service was great and interior gave a Southern vibe true to its name. Needless to say, we left with full tummies and a full heart."
Delicious lunch,"Wonderful restaurant, staff was very friendly and helpful, great food and drink. Highly recommend. Also high quality for an affordable price. Will definitely return to Yardbird."
A pleasant surprise,"Ordered their signature Chicken ‘n’ Watermelon ‘n’ Waffles and really loved their spiced watermelon and bourbon infused maple syrup. The waffle was fluffy too. The chicken was really crispy on the outside and tender on the inside. Cliche as it sounds but I'm not a huge fan of fried chicken but I really enjoyed it. We also ordered the Popcorn Shrimp and it was lovely. The popcorn was salted and buttery, it melts in your mouth, I finished everything even though I was really full.

I'm actually looking forward to head back there again to try other dishes."
Great food! Great service!,"Organised a private lunch event at level 1 for 30 pax. The food was excellent, and the service was efficient. Though the portions were quite large, but that's a good thing! Thank you to the team for doing such a good job, and a big thank you to Hazel, the restaurant manager who helped with the whole process (even when she was on leave) from start to end making everything seamless."
Hidden gem,Nice egg place. Bartender was super friendly. Pls order the lychee tea. Excellent balance of lychee and tea shaken not stirred .
Excellent service wonderful foods,"Chicken and watermelon, slow cook pork rib highly recommended. Mac and cheese is delicious too , using really good cheese."
Great food and service always.,Needed a last minute table and the service was so helpful and caring to my child and family. We promised to eat quickly (That was what we wanted anyway) and the service was helpful to find us a table. Food was good. Cocktails great. Lovely experience.
Yardbird,It was children's day and I brought my 9 yrs old nephew to the Art Science museum. We went to Yardbird for lunch as my nephew likes fried chicken. The kind and friendly staff advised that the set may be too large for us so l ordered items separately.The chicken and Mac and cheese were very nice and my nephew enjoyed the lunch. I also ordered the spice and herb watermelon which i love.
The Best Cocktail in Town,"It's my second time visiting this restaurant, Upper floor ambiance is better Overall is a good experience, and the cocktails drink is great!"
Family Dinner,"Wonderful food and service. Took the kids (big kids) here for dinner. The portions (esp Mac n Cheese) was very big, 4 person ordered 3 type of foods"
BEST CRAB CAKE BENEDICT,"The food was reaaaallyy good & staff was nice to prevent us from over-ordering. Our free-flow mimosas were sent to us at perfect timing (although we did have to start prompting them with 45 mins left). Other than that, the only one thing would be that we asked the door staff who sat us about their brunch mimosa offer, and she said she’d get back but didn’t and we just had to ask another staff about it."
Satisfying dinner,Friendly family restaurant. Loved their wide choices of sandwiches. Loved their smoked ribs and the mango salad. Very attentive and friendly team of staff led by Chef Josh.
Wonderful lunch at Yardbird,Food is delicious! Ambience is great! Service is great! We are impressed with the dining experience. We will return again to Yardbird!
Breakfast menu,It’s was well worth for the morning menu which I get which included a burger and drinks and coffee. Ordered a salad too
