topic,review
Rude slow but good dim sum,"Yum Cha, Chinatown: Rude auntie waitresses. Check. Dirty toilet. Check. Slow service. Check. Welcome to your typical old school dim sum eatery. It’s been more than 15 years since I’ve been here and it hasn’t changed much. Sometimes nostalgia makes up for the lack of service with charm. We even had a dead pigeon outside the window. Dim sum buffet spread is decent - in fact, the prawn hargao’s are the biggest I have seen. The dim sum are generally succulent, generous and good tasting. #eatstylishtravelstylish"
Dim Sum As You Hope It To Be,I don’t think you could pick anything on the menu that wasn’t superb. From the soup dumplings to the squid dim sum. We didn’t try the fried carrot cake but that sold out as we were there for lunch. Small queue to get a table on a Saturday.
New Favorite Chinese Restaurant,"I had gone to this restaurant with some colleagues before, and them being Chinese, I had let them do the ordering. This time around, I was in Chinatown with my wife and 2 year old and we decided to try our luck.
The dim sum that we ordered was outstanding. The pork bao was more delicious than any bao that I have found in Singapore. The rice noodles with seafood was divine. The eggplant stew had just the perfect spiciness to it.
A truly outstanding restaurant and our new favorite when it comes to Chinese food."
"Food worst , services worst , not advised","First time come to a eating place that food is not fresh and worst food and customer service also is a bad and not trained before , spoiled our country Singapore , as always said is a proud of service in Singapore , but here food and service is worst I have go"
Great service provided by Aunty Siew Lan,"Queue was cleared fast on Saturday. Went for Dim Sum, good was good and pricing considered a bit high side at this location and ambience. Service is excellent with Aunty Siew LAN’s hospitality service and her passion on her job, She anticipated her customer’s needs and very attentive . She is really a valued asset to your organisation. Thumb up to Aunty Siew Lan . Well done!"
The food and service of Yum Cha restaurant in Chinatown outlet,"I went to Chinatown outlet with my gf. The food was average but not so bad. Thumbs up for aunty Siew Lan, she is friendly and providing great service to us, taking care of us.. unfortunately, your staff “Wang Yue” is the worst server I ever seen.. no patient at all, when I asked her to check for our order, she gave us a bad expression and the body language is like she don’t get paid for her job!! I seen her did the same to another table guest too.."
Authentic Cantonese cuisine,Love this place! I’m Cantonese and the taste of the dim sum here is authentic and yummy. Staffs are friendly and diligent. Price is a bit high but once a while is fine.
Local favourite,"Always like to come here with friends & group for the Dim Sum buffet on lunch , service & food always in a good side. Hope reopen 5 pax soon."
Service with a scowl,"If the food were not better than average, I would have scored this below 3.

The food is good and consistent. But I go there because of the Auntie is is always nice to me and always nice.

In general, the rest of the staff is blah.

This past week was particularly poor and I will stay away for awhile before I return for my Auntie.

A dish was undelivered 45-50 minutes after ordering. When I notified a manager, she rummaged thru a takeaway bag (packed by her subordinates) rather than take to assure me that she would look into the order. Mind you that I have been going there weekly for about 2 months.

If service is no issue for you and you are adept at getting what you need, this is a great place.

If service is a concern, then avoid this place like the plague.

It will be soy time before I go to see my Auntie again. :("
Scary experience,"0 out of 5
I was denied entry to the resturant after they checked my Tracetogether app, saying that they are not accepting people with such data and I was forced to leave.

Despite angry, hungry, paid for carpark and wasted time queuing, we move out of the place without making a fuss to look for food as that wasn’t a mall.

They insisted that there wasn’t a procedure in place but does not seems interested in finding out my situation after several emails corresponded.

I still waiting for their reply after ten days from the last email… (I wish I could MIA like that in my work too.)

Their customer care and recovery is poor. Long way to go.

As a dim sum lover myself, there plenty of good restaurants worth the time, food and good assurance of customer service frontline and back. Yum Cha Restaurant is def not. I have not try before will not try.

This poor experience make me only value those business who value their customers.

That said, I will NOT go to Yum Cha Restaurant and risk again."
