topic,review
I tried the punjabi curry with mint paratha.I will give it a 5 star rating!,"The food is very tasty , fresh and healthy -Everything including the pickle ! One place I don’t mind to go and eat out . Recommend highly to give it a go at this restaurant …"
The most tasty Indian restaurant in Singapore,"This is my third time to visit this restaurant it’s very delicious and clean. Also the team their are very respectful, helpful, and fast. Specifically MG he is always smiling and he is very fast. I have tried many Indian restaurants the last two months in Singapore and I can tell and guarantee that this one is the best and you have to try it. You can feel the authentic spices in your mouth. Also the prices are reasonable and the quantity is perfect. I love this Resturant it’s the best place that I chose when I want to treat myself l.

Waad"
Excellent food,It was yummy and tasty breakfast. We had ordered for team breakfast and eveyone enjoyed it. and it was nicely packed. Thank you very much
Amazing Food!!,"We tried the veg Manchurian and sag, it was delicious! They went out of their way to cater to dietary restrictions and it was overall a great experience.
The last time we tried the malai chicken tikka and the fish to go with the fresh crisp beer. Again two thumbs up there!!"
Simply delicious. Must try!,A place that makes you wanna go back for more. I frequent here for their naans and curry and trying out a new dish each time I visit. It never disappoints me.
Writing this review following a visit and take away orders for my wife’s Birthday on back to back days,"Below were the dishes ordered
01) Veg and Non-Veg platter
02) Chicken and Veg Biryani
03) dal Makhani
04) Mutton Bhona Ghosh
Without a doubt all the above dishes were absolutely awesome , tasted like home made and fresh,

Highly recommend Yummy Punjaby as they can cater to your taste. Well done and keep it up"
Must try for a wonderful experience.,"Ordered family special delivery set and it was indeed 'Yummy' both in quality (each items) and portion size (more than sufficient for 4 persons).
Must try for a wonderful experience."
"Love their desserts, naans and sauces","We came here mainly for their desserts. While it is easy to get gulab jamun at most restaurants, gajar halwa (an indian pudding made with fresh carrots, milk, sugar, ghee and nuts) seems to be more difficult to find. Explaining why they stopped serving this dessert, a waiter at another restaurant explained it's rather time consuming to make. The other dessert we love is the ras malai. I prefer this to rasguilla as this is coooked in sugar syrup while rasmalai is further immersed in milk. The second time we went to the restaurant, we tried their garlic and methi naan. Loved the garlic naan which was full of garlic. Couldn't quite figure out the taste of methi (fenugreek), which is some sort of a herb. We tried the chicken kasturi, with a rich tasty sauce. The pineapple raita was Ok - it's a mix of pineapples and salted yoghurt. The taste was fine - just felt it was something we could have easily put together ourselves and it cost as much as the dessert which takes a lot more effort to cook."
Yummylicious Indian & Indo-Chinese food,"I have always been a fan of this place for dal makhani , Malai kofta , garlic naan and chilli chicken ..love the ambience of the restaurant and always a good place to enjoy evening with family and Frenz!!"
Best Indian food in singapore,"This is the best Indian Resturant in singapore that I have been to in my last 4 years of stay in singapore....whether it’s Indian Chinese , or North Indian...you can be assured of the best quality at reasonable price... amazing place for family get togethers or office outings with colleague for a drink or snack."
Lunch takeaway,Timely delivery. Seven different items. Excellent taste. Made it an enjoyable day. Will definitely make it a regular go to place.
Delicious food. Great experience.,Lovely place with good atmosphere. Wide range of tasty food for both vegetarians and meet eaters. Must visit! Highly recommended!
Lovely evening,"The food is always great at Jummy Punjabi, but what sets this place apart is that you are always welcomed as a friend rather than a customer! Such a pleasant experience!"
Love is all around- in the food and ambience !,"The food touched my heart as it’s made with a lot of love !
Whole wheat breads here are the best I have ever had in SG, impressive tandoori rotis !
Highly recommend the chicken tikka masala, and yellow dal tadka is must try- it’s unlike dal in most shops and restaurants - but full of homely love!
Great music in the ambience, peaceful and well lit.
Great for group dinners or lunch or romantic meals with your partner!
Btw The bar is stocked with the best deals !"
Home Delivery,"Yummy Punjabi can really do better and increase their standards if they start taking customers feedback seriously. Unfortunately, they don’t do it . This is my second time when I have order for some food and they have sent me , half cooked -burnt samosa. Highly disappointed with their food quality."
Poor food and poor staff,"Hi, last time I visited there. The restaurant review is very good but I haven't see anything like that. When I enter in restaurant there was a smell. And not enough staff also. I'll was siting around 20 minutes. Staff comes very late. I'll order of food Dahi ke kabab it's not available,that's fine then I ordered of chicken tikka. That's was not cooked properly. Then I order of Chinese chicken manchurian or fried chicken rice. Manchurian was very dark and extra bitter. Totally tasteless, rice was good.but I give you advise...Please give good food to guest and make good atmosphere of your restaurant. Thanks"
"Memorable Evening at Yummy Punjaby, Singapore","As we wanted to explore indian cuisine in Singapore, we decided to try the Yummy Punjaby restaurant at 321, Alexandra Road. We were prepared for usual indian stuff but were surprised after seeing the presentation and the sumptuous delicacies. Specially chicken and fish tikka with super delicious garlic naan with dal makhani. Everything was meticulously arranged and served.

And not to forget the good variety of alcoholic beverages within the reasonable reach. We were very happy with our choice of choosing Yummy Punjaby as an evening to remember forever.

Our 100% recommendations for a visit to this Restaurant."
Excellent yumilicious,"We stayed at Park hotel Alexandra for a week and dined at yummy punjabi almost all the days. Tried almost all dishes, delicious, fresh and healthy& hygienic Indian taste.. nice decent set up for family dining. Very friendly staff."
"Soya chaps, Dal Makhni and much more",We are vegetarians but there is no dearth of choices that taste as yummy as the name sounds. Their food has a distinct pie Punjaby taste that you will find in an authentic dhaba cooked food - the owner IJ told me their spices come from India sent by his mother... go for it!
Great little local Indian,Always fresh and quick. Been here very many times. It's a great spot after work for a quick snack or large meal if you can't get into central Singapore.
Food Quality and location,I had been almost all parts of India plus I visiting other countries just because of my Job.The food quality which I found there is Marvelous really yummy.Staff over their so nice gave me feeling as I am not away from my home. Really Yummy...
OMG the food is YUM!,"I stayed at the hotel next door Hotel Alexander, nice place.
The Yummy Punjab was so good, we could sit outside in the lovely Singapore weather drinks beers, eat and eat the lovely food. Ladies who served were very nice.
So if you stay at the hotel, eat at Yummy Punjab :)"
A Lunch party,"Yummy Punjaby one of the best north Indian restaurant in Singapore. The aloo paratha, dal fry and sweet lassi are my favorite combo here. Try this out. Recommended!"
It’s just not yummy!,I’m sorry but for the price this was way below expectation. Aloo gobi tasted like was made last week. Fish tikka masala bland and mostly fish skin. Nana bread and service great! Won’t be going again!!!!
Tasty Indian Cuisine!,"We were happy to see the Yummy Punjaby at the Alexandra Road on our visit to the City. They serve tasty Indian cuisine, we enjoyed their Tandoori Roti, Yellow Dal and Aloo Dum Punjabi with Beer. The dishes were well cooked and not too spicy. The staff were friendly and helpful. The decor is nice and we enjoyed our dinner."
"Best Dal Makhani, Convenient Location","I am a regular customer at the restaurant. Whenever I have hunger pangs for some good north indian food, this is my go to place.

Also very convenient location, next to Ikea. So whenever we go Ikea shopping, the dinner has to be at Yummy Punjaby. :)"
Great food and service with a smile,We have been frequenting Yummy Punjaby for a few years now (earlier at the Arab Street) and now at Alexandra Road. The most striking quality is that the food is still delicious and the service is warm and welcoming. Absolutely love going there. Definitely recommend to anyone in the vicinity to try the food.
Good Indian Cuisine with a Punjabi touch,"Located in The Park Hotel complex, the restaurant offers an array of North Indian Cuisine at affordable rates. The food was good and tasty with a quick and fast service. Loved the Baingan Bartha with nice rotis."
Very nice food!,"This is the only restaurant in Queenstown-Redhill area that serves quality North Indian food. I have visited this restaurant a few times and found the food very impressive. Paneer shaslik kabab, Sarson ka saag were very tasty. Naans & rotis were served hot and well cooked. I am very happy to have such a quality Indian restaurant in my neighbourhood."
Terrible,Quality of food on delivery is really bad! Food floats in a lard of oil (looks like an oil spill)! Tasteless
"Good food, good service",Authentic north indian cuisine. Very clean silverware. Great location (just beside IKEA). Good service. Good variety to choose from.
Excellent food,"I love this place, went for the first time and was delighted by the authentic Indian food, love the food here, recommend this place for anyone who is looking for good Indian food with a fabulous ambience."
"Indian Food - Yes. Punjabi Food - Nah, Nah, Nah! DEFINATELY NOT!","For the longest time ever, I wanted to check out Yummy Punjaby.
And finally I did last week after 2 failed attempts(once they were closed between 3-6pm, and again on a particular Tuesday(where they are not open).
The menu is wideeeeeeeeeee! The have loads and loads to choose(Indian chinese fusion food). I had the chicken briyani(briyani rice cooked with gravy and chicken pieces - so it way too wet and soggy!) and the chicken saag(boneless chicken in the darkest and fake-est green coloring gravy that you can imagine).
The food is Indian. But this isn't PUNJABI food. Punjabi food has its distinct flavour - there was none. I was disappointed. I was hoping this could be my 2nd Punjabi haunt. But it failed. It was like any other Indian restaurant in Serangoon Road. I suppose, I should have known better as there were no Punjabi customers in there but more Madrasis - I guess the former they already knew that this isn't Punjabi unlike that other Punjabi place in Race Course Road.
So if you want Indian food, or Indian fusion food - that's what they serve.
But if you want really yummy flavourful Punjabi food - this is NOT the place. Sadly."
"Not friendly to kids, average food, not worth the price","We went to the restaurant at 7:30 PM . There was not another diner, we were the only ones. We had 3 small kids with us, and when we requested them to provide smaller sized plates for the kids (which is a standard request at any Singapore restaurant) the waiter made a funny face as if we were requesting something very special. Then, after they had laid out the plates, they asked us to move to another small table . The waitress was quite rude and when I tried to give her some feedback politely, she responded in a very aggressive manner.
Food was average and quite pricey. Will not recommend and we will never go back. I believe they have gotten their entire village in Punjab to post positive reviews for them, otherwise this place cannot be getting such rave reviews. As you can see from the attached pic, my visit was a genuine one."
Yaar velli,Excellent place Sandeep sir loves it so do I because ajith sir and guru sir come here Discounted Ani also comes
"Very tasty food, and really nice staff","Randomly found this place while playing darts tonight. The staff were exceptionally kind and helpful, they even brought my food over to me (they knew us was just down the walkway).

I ended up ordering the butter chicken, some butter naan and some samosa Chaat.

I love butter chicken, and this was a great version ... very flavorful (creamy, warm spices, and bright), a little Smokey, with big chunks of juicy chicken. The samosa chaat was well balanced. The Butter naan was fresh and crispy.

Overall a surprisingly tasty meal, will definitely come again when I’m in the area."
Its tooooo YUMMMMMMY,The Preparation of Food at Yummy Punjaby is really tooo yummy.........Enjoyed with my dear ones. Have an outing for a dinner it will be a great !
Good food,"Visited on two occasions in the last few months. Food was good on both occasions (biryani, saag paneer, dal, etc) - authentic North Indian. Service though on both occasions could be improved - its friendly but could be made more customer focussed and efficient."
"delightful North Indian Punjabi treats -you cant go wrong with the traditional dal makhni, paneer tikka and gobi!","delightful North Indian Punjabi treats -you cant go wrong with the traditional dal makhni, paneer tikka and gobi! do try the pani puri! must do again. menu is very wide with a lot of choices for veg and non-veg. service is slightly slow but food makes up for everything!"
Amazing food,Love the cholle bhature and the paneer paratha! Finally found a place in singapore that serves authentic North Indian food that not only tastes great but also is pocket friendly.
