topic,review
New Year Dinner,"We had a really enjoyable family dinner at Zafferano last week. The service led by both Ian Sithan and Shah Supoano was immaculate. Even though our son is 8 years old, he was treated with equal finesse
The food was delicious and very well presented. It was my second time there and I would return again. Well done"
Impeccable Service with Great View,"Excellent service, food and view. We had team Lunch and we were well taken care and ambience just excellent."
Our Anniversary Place in the Sky,ALTRO ZAFFERANO was the perfect place for our 30th Wedding Anniversary! The ambiance of a cool evening gazing at the breathtaking skyline was matched by impeccable southern Italian cuisine as well as extremely attentive and warm service by CHONA and KUMAR. We are eager to return as well as enthused to recommend our friends to dine here. THANK YOU SO MUCH for an unforgettable experience!
Paying for the view.....,"A stunning view with impeccable service. However, you can get much more interesting, better wine selection and food in many other Italian restaurants in Singapore."
Excellent anniversary celebration,Celebrated my wedding anniversary at this wonderful restaurant. The staff were courteous and very accommodating to all our needs. Excellent food and drink choices as well.
Birthday dinner at Zafferano,"My wife and I had a wonderful evening, friendly staff who were willing to check every detail for us, very patient and attentive. Our reservation request and expectations were exceeded. We had requested for a secluded table with a view for my wife's birthday. Food was cooked to perfection, and portions were just right. And the champagne recommendation was just right, definitely one of the better ones we have tried. The dinner ended with a surprise birthday chocolates for her, which really made her day. The after dinner tour of the garden terrace offered a magnificent view of the city skyline and dazzling lights. We are definitely returning again soon!"
Great views,"Great: friendly staff, gave us a great table with a view, food came promptly and was beautifully plated, bread was warm and tasty.
Only minor complains were they forgot to give us cutlery both when the starters and main courses were filled and we had to ask for a second water refill. Maybe there weren’t enough staff around during busy lunch times? Felt a bit ripped off that 36$ Order of scallops was one or two scallops sliced 4 ways."
Great option for Lunch,"High quality food, super attentive service, and magnificent views made for a great lunch. Lunch set menu is good value for the quality and service provided. Highly recommended."
So glad to be back for lunch!,"Haven’t been here for a while but so glad I picked this place for lunch after returning to the office. The food, ambience, service was all great. The tummies left feeling happy and I’ll be sure to return again!"
Quality food and service,"The quality of food was good, with generous serving as well. The service from staff was excellent as they were very attentive and accommodating."
Great view.. food not so much,"The view is amazing and the place itself looks great
Sadly was a bit of a Valentines day rip off
Exorbitantly expensive
Food was decidedly so so
A lot of the food had been frozen and was somewhat tasteless
The starters and the scallop in particular
The wine list was extensive and they had a sommelier but overall the place wasn't good
I doubt I would return"
Delicious Italian food with a excellent service,A friend recommended the restaurant and I was not disappointed. We created our own 4 course menu from the menu. The tartare was excellent and the lobster spaghetti incredibly tasty. I loved the chocolate cake for dessert. The center was still liquid- together with the ice cream- heavenly!
Wonderful Italian food with spectacular views,"This was our second visit to Zefferano and it did not disappoint. This visit was a Valentine's Day special menu and it was wonderful. The menu was thoughtfully put together to include an amuse bouche, fish, steak (the highlight), pasta, dessert and petit fours. Each dish was perfectly prepared and beautiful to look at with a lovely combination of flavours and colours. The service was exceptional and friendly and we were made to feel welcomed and valued.
Overall, a very special night."
"Food with layers of flavour, attentive service and great view","I loved the appetiser as biting in the flavours oozed out. The lobster pasta tasted marvellous, not too oily yet with rich flavours. My friend loved the truffle mashed potato which was perfect for her taste bud. Celebrated my friend's birthday and the complimentary tiramisu was nicely made! And add in the view from the high floor makes the whole experience wonderful."
Wedding Reception,"Had my wedding reception on the 18th Dec 2021 at Zafferano and I only have great things to say about this venue.

Jennifer was extremely helpful with the pre-event planning (replying to my constant queries regarding food, AV, COVID rules and etc). She assisted with all the necessary arrangements (liaising with all the third-party vendors) such that I did not have to worry about anything during the evening.

Post-event, she even texted us to congratulate us and her service remains professional and helpful. Also, I would like to commend Jennifer's honesty and kindness, i didn't realise I have dropped my ring in the restaurant - she texted me to inform me and even kept it for me for safekeeping purposes.

All in all, my guests were extremely happy and with the quality of the food. I've received praises from everyone that the service from the team was impeccable, the staff was extremely friendly and could anticipate their needs. They went out of their way to ensure that everyone had a pleasant evening.

100% would recommend this place to anyone who's looking for a venue for a wedding reception, events, or a date night. A big thank you to the Zafferano Team!"
"Good food, stellar service","We had a lovely dinner experience at Zafferano. The food was very good, but what really stands out is the warm and thoughtful service."
Tiny food portions,"Came to this restaurant for dinner with family to celebrate a special occasion. Overall, the experience was uninspiring and really the main going for this restaurant is the spectacular skyline view. The food is decent in taste, not special by any means that is above that of a regular good mall restaurant, however the food portions are absolutely tiny. The main courses are like appetizers. And the appetizers are like tiny morsels. My spouse joked that we need to order 3 portions of entrees per person to actually not end up hungry. The wagyu beef is not tender enough and tasted just like regular steak one can grill at home. The fish and lobster combo had only a small piece of lobster. The service was decent but at the end of the day, the great view alone cannot justify the fancy price given the rest of the mundane experience."
