topic,review
Poor Customer Service,"- the food was good but customer service was typically bad .
- i understand store is closing but still respecting customer it’s tip top . there was a staff that was rude and told us to order quickly as the store is closing down soon & it’s like literally 1020pm .
- we come to eat the food & pay for it but with this kind of service i guess it’s unacceptable.
- there were quite number of customer also unsatisfied with the customer service .
- i hope this could be fixed
- really dissapointed , zam zam has been my most fav go-to-eat restaurant to eat but now it’s just embarrassing to even come again atter witnessing this ."
Mutton Biryani and Murtabaks,"I visited Zam Zam twice during the Singapore trip this time. Just a couple of hours after arriving in Singapore I was already seated at the table poring through the menu. I settled on the mutton biryani (S$9).

The biryani was tasty even though after trying biryanis at different places during this trip I wouldn't say Zam Zam is the best but it still ranks highly on my personal preferences. 

The second visit was to order takeaway chicken and mutton murtabaks before flying out. It was a bit of a queue as weekend mornings are usually packed with hungry customers. The young chap who manned the cashier was friendly and apologetic for making me wait and helped me to check if I received the right number of murtabaks. That's what I call customer service."
No frills and hearty food,"A typical Indian Mulim place with no frills. Don't expect any ""service"". It's a place to get your Indian Muslim fix. Good and hearty mutton briyani. Reasonably priced."
Ok for a quick snack - Murtabak (Roti),"Very busy upstairs in dining area. We saw this from the ground floor while they were making Murtabak (roti like with egg and meat). So we wanted to try it out and elected to sit upstairs. It's like $6 for small but was large enough. We had one chicken and one beef and it was stuffed with meat. I didn't dare try the deer. Enjoyed this for a snack. Other dishes looked a bit small but affordable.

Come try this place out at reasonable prices."
Terrible staff and lousy attitude.,"Terrible staff and lousy attitude. Placed an order online to collect at 11am. Reached there and it was not ready. Just say I have to wait. Not able to tell me how long. When I ask more, they say 45 mins and ask me to cancel order. This order has been placed in advance. Next door restaurant has a much better attitude. Avoid at all cost!!!"
Horrendous food and service,"I wouldn’t have stepped in if not for an insistent colleague.
It turned out exactly as I have expected.
The deer meat murtabak was a major letdown, dry and tasteless.
The chicken briyani was equally bad, without any spiced fragrance.
The service was slow, insincere, and unhelpful."
Terrible staffs and rubbish food quality,"An honest review of a terrible dining experience by the staffs.

On 06/02/2021, my family and I came here for our dinner. We then told a staff, who was wearing a black tee, that it was a table for five, the staff then offered us the table downstairs, which we then sit. But that same staff then told us to move upstairs, which we agreed upon because of air con and as he said that we could still sit together as a family.

But what staff didn’t tell us was that we had to split us up into 3 and 2, despite initially telling us that there was 5 seats upstairs and us arriving as a family. We cooperated and when the 5 seats upstairs were available, we were rudely told off, by the staff upstairs, who has a tattoo on his left arm, to not be allowed to sit there as the staff wanted to cater to the next family.

We then informed that we’re here as a family first and had waited. And earlier, was told by the staff below that there was a table for us together, and we still had to sit seperately? In the midst of that, they way the staffs spoke, especially to my parents were very disrespectful and utterly unprofessional. When I spoke to the staff to feedback, I was instead challenged by that same staff to speak to the manager below myself.

In fact, when the next family came in, they were lead upstairs thinking that they could eat together but was told to seperate. That entire family left on the spot. Probably the same lie that the staffs informed my family earlier.

The food was also rubbish (Maggie goreng and chicken chop) were not cooked properly. This is on top of the terrible service, communication between staffs and rubbish quality overall.

Utterly gutted and will never come here again. Totally ruined the mood of us here as a family. Train your staffs to develop some ethics when speaking to customers and have better cooks.

Beyond any doubt, one of the most worst restaurant experience in my entire life. Utterly gutted with Zam Zam and what is used to be me as a consumer. Gutted, dissapointed and pissed with the treatment we received. Thanks so much for ruining my family’s mood.

Having dine with my family and to other restuarants plenty of time, this was undeniably and undoubtedly the worst, 1/5 for the staff service and food. An honest review of the experience we had provided by your own staffs."
Horrible Customer Service,"I have been dining at this restaurant since young.
But last night’s experience was worst. Customers having a hot drink after a full meal. However, an inconsiderate service crew was chasing diners repeatedly . They need to educate and groom their staff some basic manners.
Such behaviour only direct regular customers to other competing restaurants instead. Restaurant management kindly look into this matter. Tq."
Best Mutton Briyani,"Visited their restaurant for lunch and was ushered to the 2nd level.Seating was comfortable and staffs were efficient.

Hubby and I had a mutton briyani each.The rice was fragrant,fluffy and every bite was heavenly.It wasn't oily at all and each grain was coated with a hint of spices.I could just eat the rice by itself.Love, love, love it ❤

The mutton was tender,covered in one of the best tasting gravy I ever had.My taste buds were partying with joy and thanking me for the wonderful meal.

Excellent meal!!!If Briyani is something I can eat everyday,I will eat Zam Zam briyani. Try it,its worth the $7 and it is one of the best Briyani in Singapore"
Very bad insipid food,"Vegetarian meal was horrendous. Simply dry mee goreng & a veg Nasi goreng without proper vegetables. Restaurant recommends spl dum biriyani in pot. When the order arrived I was confounded by shock.just the curry and meat hidden in plain biriyani rice covered nicely with a silver foil.. Is the restaurant trying to hoodwink customers. I have eaten real Dum biriyani & I really know the composition.There may be a favourable crowd but to me this is not real food. Too much colouring added to food & the ventilation is extremely poor that when you are out of the restaurant, the pong of oil & food lingering to your clothes is extremely nauseating"
