topic,review
Cozy dinner venue with friends,"This is by far the best Italian restaurant that I've ever been to here in singapore. I love the ambiance and the jovial personality of MJ, the best staff I've ever mer. She deserves a raise and/or a promotion."
Best Italian Restaurant Ever!,"By far, the best Italian restaurant that I’ve ever been in Singapore. To top that, one of the staff, MJ, was very accommodating. Will definitely recommend the place to everyone!"
Delicious pizza,We had a perfect Italian dinner. The pizza is tasteful with a spending botten. A place where we come again for sure. We where served trough a trainee who was very polite and handy. Thank you.
Excellent wood fired pizza.,Especially love the Parma burrata pizza. Even the crust is delicious. Boss is passionate about his pizza. Ingredients are really top quality.
Amazing Pizza,The pizza was so good (we are italians 🇮🇹) and the service was excellent! I will definitely come back!
Authentic Italian,"Fabulous pizza. We actually ate here twice during our stay. Quality Italian ingredients and great service, thank you!!"
Highly reccommend,"Food is very good with amazing service. Food was served fast too when we visit on Sunday evening. We had salad with sass dressing, aglio olio and Parma burrata pizza"
Best Italian food in Singapore,"If you're looking for great tasting, authentic Italian pizza and pasta, this is the place. I consider myself very picky when it comes to my Italian food (pasta must be al dente, pizza dough must be chewy and crust crunchy, etc), and this place delivers. Fernando is an experienced chef and it shows. Best of all, this is value for money. Prices may seem steep on the menu but when you eat it you will understand what I mean. There's a lot more ingredients for what you are paying. You will not be disappointed!"
Good pizza and risotto,Very good pizza and risotto. Had the meat lovers pizza and mushroom risotto. Right at the entrance of the mall at South Bridge Rd and Upper Cross St.
Best pizzas in Singapore,"It’s been a while since we returned. We used to frequent Zazz when they were at short street because it was in our neighbourhood. This is our first visit to the cross street place.

Still our fav pizzas. we ordered diavola, burrata pizza and lasagna, they were delicious, will definitely come back to support more frequently."
yummyyyy,not the first time here. staff are super friendly! wood fire pizza and pasta is delicious and consistent portions are big :) highly recommended.
"Fresh Pizza, great staff","Very friendly and helpful staff with a very accommodating owner. All ingredients were fresh and the food felt homemade, being served at a considerable pace. Would definitely recommend!"
Authentic 👌🏻,Best pizza and pasta place in town. I feel like im in Italy again and having a vacation. The ambience was good and the service was excellent. Will recommend this to other friends who's looking for an Authentic Italian dish! Good job to the entire team
Nice place for pizza,Chance upon this place for pizza. The spicy pizza was great. Will go again and order other pizza to try.
Pizza,They make pizzas like italians. Excellent spicy food. I had Sicilian with extra meatballs. Good service and crew
Pizza with delicious mozzarella,The food was delicious especially the fried calamari and the pizza with real mozzarella di buffala. Would definitely go back!
Amazing food and excellent service,"The food here is amazing, paired with great ambience and excellent service from MJ and Fernando, it is the perfect choice for anyone looking to having an enjoyable meal. Their pizza and pasta is truly exceptional. Came here for a birthday meal and the service and food they provided is nothing short of amazing. Shoutout to MJ and Fernando again for the warm hospitality and amazing food."
Best pizza,"My husband and I are always on the lookout for good pizza and we have to look no further with Zazz pizza. Delicious flavours, good thin crispy crust, wonderful service and it was lovely getting to know the owner. 10/10 recommend!!"
Excellent and satisfying dinner! One of the best dining experience in Singapore,"Excellent fire wood pizza! The best I had in Singapore. They’re also very generous with the portion of ingredients on pizza. Mushroom risotto was also fantastic.
They’re also giving free glass of wine or peroni beer from mondays to wednesdays. Will definitely be back with different groups of family and friends."
Satisfying and food rich in flavour! Best fire wood pizza in Singapore!,"Heard a lot about this pizza.. and it really lives up to the expectations! :) the food was Amazing! They were very generous with the serving and ingredients on the pizza.. mushroom risotto was heavenly! Generous portion of mushrooms as well!
Most importantly, good ambience and excellent customer service! Free drinks to go with the pizza on weekdays.. highly recommended!"
"Authentic, Delicious, No-nonsense Pizza",An underrated gem. Pasta and pizza is great. Highly recommend the beef cheek pasta. A really good deal if you come on Mon-Wed since you get a drink on the house with every main course!
Average casual Italian cafe or trattoria that's not really value for money,"Considering the menu prices are not that low, we expected much better food. None of the dishes made it to our table piping hot which was a disappointed and they were of middling quality at best. While the cafe is styled as self-service, it was surprising that the 3-4 service staff did not attempt to be more helpful in refilling our glasses with water when they were clearly not busy and there were no other diners in the cafe. What was most troubling was when the only other diner in the cafe started coughing and blowing his nose, none of the cafe staff approached him to persuade him to move to an alfresco table. Fortunately, we had pretty much finished eating and was contemplating whether to have dessert and coffee. To be covid safe, we decided to head elsewhere for coffee."
Decent pizza in SG,"Hi guys,

I ordered a pizza there last Saturday (take away).

The staff was rather fast and, from what I observed, willing to help. I can't comment on the service since I didn't have dinner there. I didn't have to wait long.

The pizza taste was good but not amazing. I see excellent reviews here. I bit over-rated I feel. Don't get me wrong, I am not saying it's bad. Thin crust (positive), was bit too cooked (like when it starts to burn a bit), tasted like a typical ""average"" pizza (so the taste you expect from a pizza). But you don't get much on it. A pizza should be generous if you get what I mean. It was too small, especially for a Napoli at SGD 29 (Napoli has no fancy add-on). Napoli wasn't even on the menu (although it's a classic) so I had to ""create your own"".
For that price, the restaurant should ensure you don't starve...a happy belly wins clients' loyalty.

All in all good if you want a quick pizza when you are around. Don't expect the best one in town.

Best,
D."
AMAZING PIZZA PERIOD!,"AMAZING PIZZA PERIOD! The fennel sausage is to die for! My suggestion after delivery arrival, heat up a pan with olive oil and make crust crispy=excellent! The only sad part .....I wish they were bigger!!! LOL My kids love it too;) I can’t stop thinking about that fennel sausage though, next time I am making a custom....fennel sausage and peppers:)
#meatmadness"
Bday celebrations,"Been there 2x and the pizzas were fabulous. The burrata pizza was the best. The zazz pizza second. Both times we ordered them. For the pasta, the mac n cheese was a disappointment. It was very bland. Need more cheese please. We also tried the sorbet. Love the yuzu lychee and dark chocolate sorbet. Yummy."
Still fabulous,"On holiday from work and thought about how to fill my days. Zazz for lunch came top priority. Its an hour away from my home by public transport but it is so worth it. From the really friendly and welcoming two waitresses to the cheery wave from the chef, as soon as you walk in you feel a warm embrace! I knew I had made the right choice. The pizzas here are fabulous. I cannot get past the diavola. Crunchy crispy outer rim, chewy stringy mozzarella and a really beautiful tasting salami. Add the rosemary and garlic infused olive oil on all the tables (chilli oil and garlic flakes also on the table) and its just delicious. I have reviewed zazz before but something this good and service so warm deserves to be cherished. Fabulous. So God I am going back today. A two hour round trip is worth it."
The pizzas are delicious perfectly executed with not too much of base sauce and toppings,"The pizzas are delicious perfectly cooked in a traditional pizza brick oven the ambience you can choose between indoors and outdoors
Service from Manju and interaction with Chef Fernando is an absolute delight
P.S. Ask for a tasting of ice cream and you’d be delighted with it"
Singapore’s best Pizzeria,Zazz is clearly the best pizzeria in Singapore. Reasonably priced as well. Chef Fernando is not only a great Chef but an even better human being and very humble. The staff is always professional. Will visit again soon.
Best Pizza in Singapore,"Unassuming restaurant, but one that serves the best pizza in Singapore. Really recommend a visit. Impressively, they can also do gluten free pizza (with 24 hours notice), and better still, the gluten free pizza tastes really good . . . ."
One of the best pizzas in Singapore,"I came here for dinner & had the Bismarck pizza, Zazz salad, saffron seafood fettuccine & burrata with ham platter. The food came pretty quickly too. And Wow, the pizza was really good, and it was my fav dish among the nice dishes we ordered. The crust is crispy yet soft & flavourful & the flavour of pizza (it’s got truffle, ham, runny egg - yummy) was really good. We were given a spicy olive oil & it goes really well with the pizza too. The pasta was really good too. Highly recommended; will return more more"
Best pizza in Singapore,"Been living in Singapore for 12 years and i believe i have finally found the best pizza in town! From the smokey chewy base, the gorgeous tomatoe sauce (is that basil in it) to the gorgeous salami! WOW. I ordered delivery online and my wife and i were just blown away by the taste. Dont bother with any of the imposters - bella pizza, pepperoni, alt, extra virgin, blue label, limoncello etc etc. This is the deal!"
Mouthwatering food,"Tucked away from the buzz of daily life, the food was such a good soul food. The staff were so friendly that the our date night was made even more cozy and memorable."
Zazz pizza party,Food was really nice!! 🤩🤩 12/10❤️ Tried the Bismark pizza 🍕and it’s crust was very thin and delicious!😊
definitely one of the best,definitely one of the best pizza in singapore. the kids love the pepperoni pizza and we love the burrata pizza. service is warm and friendly. reasonable priced alcohol!
Soggy and oily pizza,"Ordered the meat lover and Quattro through grab delivery, delivery was fast but pizza was soggy and oily. Taste terrible."
Favourite Pizza Place in Singapore,The pizza here is by far the best I had in Singapore so far. The parma burrata is a must try! I would also recommend the fettuccine prawn & scallop in saffron sauce.
One of the best pizzas in,"One of the best pizzas in town, unpretentious & yet surpasses many top Italian places. You must try their Parma ham Burrata pizza."
Pizzazz!,"If you are looking for small eatery with good pizza and pasta, you must try Zazz Pizza.

Although I’ve worked in the arts schools neighbourhood for a bit, I wouldn’t have known or patronized Zazz Pizza if not for a colleague’s invitation.

First, the shop’s off main Selegie Road, on rarely used Short Street and further obscured by a large awning in the day. Even if I’ve seen the sign and name - not an English word although plenty of definitions in the urban dictionary – I would not have been attracted to shop and missed their delicious food and warm service amidst a simple ambience only spruced up by a wooden fired oven.

Yes, they serve a variety of red or white pizzas which are fired with oak wood imported from the United States. The posters promote their burrata pizzas and owner Chef Harin proudly suggests that their burrata’s are imported from Italy; and I agree its very nice. It is interesting to watch Chef Harin navigate the pizzas with experience in the wood fire; for us to enjoy the extra flavour. I wonder if there’s an Italian equivalent of wok hei? Or the al dente of pizzas?

Chef Harin hails from Sri Lanka and has been in the f&b business beginning in Colombo then Dubai before being brought to Singapore by a top Italian Restaurant, and then starting his own restaurant business with Zazz. One of my dining friends like me, naturally surmised if Chef may have spent some time in Italy to offer this fine Italian eatery in Selegie!

They also serve a good variety of pastas – red, white, clear and even black - and starters like calamari and interesting crab cake and risotto balls. My colleagues tended to the spicy angel hair with prawns. I like both their aglio olio and squid ink. They have a salad of 10 different ingredients which I’ve been meaning to try. What impressed me with Zazz during my maiden visit was when Chef Harin would go around to offer his home-made olive oil infused with chillies and peppers to garnish our food with … Zazz (there goes my spell check again)?

In the evenings, the alfresco dining is well patronized as I reckon the pizzas go well with beers. They have a small but interesting selection of Italian wines. I also saw the delivery people come in and out suggesting a popular takeaway business.

Although they are rather busy in the evenings, Chef Harin and his couple of staff remain efficient, cheerful and personable with their service.

The prices for pastas and pizzas range from the teens to twentysomething; therefore, not inexpensive but reasonable for the quality and taste.

Is there something I’d provide feedback on? Perhaps the name Pizzazz was taken?"
Appetizing Food & Exceptional Service!!,"This pizzeria provides good quality pizza & its really tasty! I'll be back again with my friends to have a try on the pasta! The service staff is exceptionally great & attentive to my needs, given there's no service charge & GST which is a bonus for that!!!! Thank you Mj for making us feel welcomed :)"
Fantastic Pizza,"Reading the reviews, I had to come and try it for myself and it did not disappoint! Really well made pizza. We had the white base mixed mushroom and the red base burrata pizza. I personally preferred the red base one. Crust and base were chewy. Sauce on point. Cheese excellent. What more could you want from a pizza. Two thumbs up."
They have great pizzas here,"They have great pizzas here, the best I have had outside of Italy. The chicken wings were good too but not as surprising as some reviews say, they were still as good. The homemade lemon iced tea was great too."
Pretty Tasty,"This place is fairy hidden, on a carpark under a HDB and across the road from a Church. We had the Parma and a Salami pizza. Both were good and were brought to the table very quickly. Not the destination for a romantic dinner, but good for a quick feed."
I love ZAZZ Pizza!,Amazing food and great atmosphere!! Service 10/10!! Owner's oldest daughter very cute :-) I tried the squid ink pasta and diavola pizza @ $22 each. Both were delicious! Highly recommend squid ink pasta! Best squid ink pasta I've ever tasted!
GOOD PIZZA,"This is a pizza joint, and they do pizza well. The place is quite small, but the manage to bake delicious pizzas in their wood burning oven. Most of seating is outdoor, which is OK if its not too hot outside. Prices are reasonable."
