topic,review
Amazing food as always,"It's always a pleasure to dine in at iO Osteria! Highly recommended to make reservations before you get there as it's almost impossible to get a seat if you attempt to walk-in.

Every item that we had ordered was amazing - in both taste and quality.

As it's busy, it's always difficult to get full attention of the service staff but you can see that they are trying their very best to clear the tables, refill drinks and take orders while having to reset the tables.

Kudos to both culinary and service team for keeping up the standards of this restaurant. So far, haven't been disappointed yet!"
Fast Serving.,Ordered mostly Cheesy and overwhelmed that could not order more to try.Will not order io sparkling water as not suitable to our taste. Food wise got us surprise!
Delicious food,"Waiter had a good grasp of the variety of food on the menu, and recommended accordingly to our group size. Only that we were not aware of the off menu food prices and was quite shocked when we receive the bill."
Diner comfort level can be improve,"The air conditioning is not strong as it’s warm and stuffy around noon. The air circulation was poor causing the food smell to linger around the space. However, the food is great away affordable price."
Crowdedo,I booked for a table for four and was given a table for 12 and I had to share that table with others. Eith the intense crowd and the very poor service there is no way I can enjoy my dinner.
Italian flavors in Singapore,"I am the guest of a Singaporean friend, who brings me there to evaluate, being Italian, how’s the food level. And I have to say that it’s up to the task. We try a few different bites, among which a focaccia romana filled with cheese and black truffles, the well known porchetta (really crispy pork skin!!), and a cold cuts platter with raw ham and some tasty burrata. Followed by an unusual pistachios tiramisu, which I liked, despite being an odd variation of the original recipe. The espresso coffee in ok, nothing memorable but better than the average in Asia.

The place was not overcrowded but rather full, but the service was anyway fast and we didn’t have to wait for our food, so the staff know how to do their job, especially at lunchtime, when you don’t have much time to waste.

Surely worth trying, the food is tasty and fairly close to the Italian original."
Good food but Expensive!,"The restaurant serves good authentic Italian food but their portion is a let down! For the pasta, an adult with three - four scoops can finish it in ten minutes.. so, be prepared to order more food if you are hungry and their prices are definitely expensive consider such kind of location!"
iO Italian Osteria Singapore,The food was good. Authentic Italian cuisine. The menu a bit confusing as there's the paper and QR code menu which are different.
Underwhelming,"Ordered roman bread, burrata, a stuff pork dish, orchiette, risotto, braised beef. For desserts, the cannoli and molten lava cake.
The orchiette was undercooked, the risotto was bland , the beef was not tender and the pork was dry.

The only things that were good was the molten lava cake and roman bread.
Ambience and service is very good.
However quality of food is just not there.
I would only order the desserts and roman bread for takeaway.

Damage for 4 people $ 188"
I’m back in Italy!,Remind me of my trip to Italy! Food is fabulous. Love the pasta and all the appetisers. Excellent service and voice of the chef in Italian .
Will be back,I came on a Saturday evening so the place was buzzing. Be sure to make your reservations before you come. There is a dining time of 2 hours. Wait staffs were all very friendly and attentive despite the full house. Food was consistently good based on past experiences.
Lovely food and service,"Brought my colleagues to celebrate a birthday over lunch and they were all singing praises about the wonderful food (ordered the seafood platter and tomahawk steak, lamb pasta). Service was excellent as well, very attentive, friendly and efficient. Will be definitely back again soon. Thank you!"
"GREAT FOOD, GREAT AMBIENCE","Settled in a ground to ceiling glass window, expect some sunshine into the restaurant as you sip your wine or coffee with the delicious food served from IO. This time round, I had a chance to savor their in house baked - Stracchino with cream truffle. The flat bread is light and crispy but still with some density, goes perfectly awesome with the cream truffle mushroom. I wished I had a 2nd piece or 3rd one. We ordered a seafood pasta shared among 4 of us. The seafood pasta was served in a big bronze pot. The pasta with creamy and tasty with lots of fresh seafood such as squid, big prawns, mussel, clams. Next we ordered a grilled fish served with some greens. The fish was very nicely grilled with charred crispy skin and the meat was flaky white, sweet and succulent. This session gives me another spectrum of eating an Italian meal. Explore their menu and enter the world of Italian cusine more than just a stanard pizza and pasta. You should really go and try, great food, great service, fast serving at affordable price."
Anniversary Dinner,The restaurant has a very pleasant environment and service staff very extremely helpful and friendly. Food was great and dining experience was good. Will be looking forward for a return visit. Thanks!
Fantastic Food and Good vibes,The food was so good. Worth the price. The ambience was nice although it was slightly stuffy. We feedback to the staff but they said that it's an issue that they deal with constantly.
authentic home cooked italian food,absolutely love the stuffed roman schiacciata! lovely authentic italian food and efficient service. gets awfully crowded so reservations are necessary. only downside are the small portions - could be a little more generous given the price. highly recommended!
Wrong Crowds,"Been here few times because the service and food were good. But the tables were too close to each other and if you happened to seated next to a big table, you could hear their loud conversations and I even could see the lady next to me, who did not shave her armpits, raised her hand and taken a selfie of their group. So you could imagine how my experience was. Definitely not a place for a couple who tried to be there for a relaxing meal."
best value italian meal in SG!,"always a great meal at IO osteria, service was super fast and food is amazing everytime. the lamb ragu, pizzas and schiaccato stands out the most"
As always…💯,"We have always been coming to this restaurant ever since… every time we have guests coming to visit Singapore, it’s always a must for us to bring them here..what makes the food even better is the service that we get from their staffs, especially Leah, she/they are always attentive and approachable. We’ll definitely coming back! Our favourite is the schiacciata bread with truffle."
