topic,review
Great dinner!,Great ambiance and the food was delicious! Thank you Jas who provided such impeccable service! - will definitely be back :)
Great service and food!,"Warmly greeted by Caiying at entrance before showing us to our seats, was addressed by name which is really thoughtful! Food portions are generous and tasted great! This is the first time I returned after their renovation. Congratulations to Janson and his team for delivering a welcoming dining experience, keep up the good work"
Awesome service and delicious food!,Visited during lunch with a girlfriend and was welcomed by manager Janson. We were offered a complimentary glass of moscato and asked for recommendations from the ala carte menu. The Fritos Misto was a winner and the pastas were hearty and delicious. Service by Janson was impeccable and the ambience was great. I will definite return again.
Great Rooftop Location,"My wife and I had an early dinner to celebrate my birthday. The rooftop is breezy and affords great views. It has a great alfresco ambience. The restaurant was relatively quiet, perhaps as we ate at dusk around 6:45pm. Staff were highly professional, friendly and prompt. The food was very good. We shared a tomato mozzarella starter and I had duck pasta as my main course. We each had a glass of Pinot Grigio."
Great spot for dinner,Ambience and food was pretty yum. A nice place to unwind for the day and to dine under the night sky. Had the tiramisu for dessert which was 10/10 ✨
Good food and great staff,"We enjoyed the food they served, specially the duck salad which I truly enjoyed! All their staff were friendly and polite; I specially would like to commend Suresh for running after our group outside Voco hotel to return the wallet I forgot at the restaurant, I did not even notice that I left my wallet :) He did not have to look for us but he went down and looked for us. Super thank you, Suresh!"
Impeccable service,Went for dinner with colleagues and was amazed with the level of service from the team especially the Manager Janson and Jas. Detailed and service oriented with high levels of customer focus. Janson noticed that I didn’t eat the Parma ham appetiser which I didn’t request to change but he offered to change the dish without hesitation. Really appreciate it. Keep up the excellent service. Thank you
Excellent Dining Experience,"The food is awesome, especially the pork rib, and salmon is very fresh. Dessert is freshly prepare, shout out to burnt cheesecake with generous spread of pistachio. Thank you kitchen team and ms. Cai Ying from front housing serving, great hospitality ever, superb dining experience. Will visit again when I come to Singapore next time."
Nice cosy restaurant,Went here for our wedding anniversary. Friendly service and food was delicious. I would consider the food value for money as well considering the location and ambience.
First Time Experience,"First time at IL Cielo made perfect with warm, friendly, and attentive service by this gentleman - Jas. The food and wine he suggested paired perfectly, definitely recommend first timers to this restaurant to be served by Jas.

Kudos to the chef as well for the delicious food."
