topic,review
Love the food and great service!,Appreciate Vanesa and Ji Hong who attended as when I had dinner with my friends ! They were efficient and very accommodating !
Great place with splendid food and service,Great Food. Every dish from starter through the main course to dessert was an unforgettable experience. The waiter was absolutely caring to each and everyone and the service was timely and excellent.
Wedding anniversary dinner,"Came with our lil one and service was great, colour pencils given to entertain our lil one! Food was great and we truly enjoyed our experience! Our server Razif and all the other servers were helpful and made the experience even better! Our wedding anniversary was lovely thanks to the hyatt!"
Disappointing,"Our visit to the the restaurant was utterly terrible. The customer service at the entrance to the restaurant was handled poorly. Despite having a 4 seat table available, he provided a confusing explanation as to why he could not just add 1 more seat for our family of 5. Certainly expect more from a 'high end restaurant'."
Precious Family brunch time! ❤️❤️❤️,"Great food, great surrounding and friendly staff and excellent service by Samuel one of the staff assist Us all the way through, this is not the first time we visit Grand Hyatt Mezza9 however every time we are here, Samuel service is the best. He’s very friendly and love the way he showed his hospitality. ***** ❤️❤️❤️❤️❤️ Thank you very much Mezza9"
Brunch,I had brunch with my family and my girlfriend and the waiter Asif provided us with excellent hospitality! Thank you Asif!
Wonderful,My family of 6 had dinner at Mezza9 to celebrate husband’s birthday. Great ambience and nice food. Pleasantly surprised with a treat of a mini birthday cake and a tiramisu. The dessert platter that we ordered was elegantly presented with dry ice. Great service from waiter Razif which made our dining experience wonderful. Will return for future dining. May try their private dining room next.
Good and bad,Good: The food and the accommodating allowing to use the table even after over time. Bad: Staff champagne pouring skill need to be improve.
Brunch,The service by the waiter Shah was great. He really took care of us and made sure that we felt really well taken care of. Good brunch!
Dining time too short,Service and food was okay. The seafood platter for 2 was abit small and only half a lobster given. Dining time was only limited to 1h 15mins which was too short! We couldn’t even enjoy the expensive bottle of wine that we bought. Staff kept on hinting to us to leave for the next dine in slot which really hampered our experience.
Great and wonderful experience,Have a great and personalised service from Rizafi. He is so welcoming and try his best to use dialect to communicate with my mum. Great service staff. The food are great too. Love the wok hey hor fun and the sashimi salad!
Standard has dropped at Mezza9,"It has been a while since I last visited Mezza9. Sad to say, the standard has dropped. Food is pricey, including charging $2 for warm water?! We had to remind the waiter a couple of times for mustard. The steak we ordered was average (portion is quite small), more lukewarm than warm, and caused us $40++ including an appetizer of 3 small crab cakes. The best food was the french fries. Otherwise, this place is overly hyped. Will not return."
Compliment of Staff- Loges,Compliments to Staff Loges who was most attentive and cheerful when we dined there. Loved the ambience too.
"Mezza9, singapore","The food and service is excellent at M9.
All the staff there are very polite and well trained.
The staff that served us was Mr Shah. He is extremely knowledgeable on wines and recommended the wine did an excellent selection.
We all enjoyed our dinner on 02Mar2022."
Good food and service,"The food was good, service was excellent as well. We were served by Mr Vesalan and he was very helpful and gave us great recommendations for our party of 3 and was attentive throughout! Had a great experience overall."
Perfect Sunday Brunch - wonderful service!,"Excellent Sunday brunch with huge choice of dishes for all tastes. We loved the seafood choices including lobster, shrimp and oysters. Deserts to die for too! Bottomless champagne and excellent white wine made it a great fun Sunday afternoon. Special thanks to Anthony for the excellent attentive service and for making our celebration brunch very special!"
Good service,Excellent service by our waiter Shah who was keen and knew our taste for dinner and drinks. One of the best lava cakes and desert
Sunday Brunch,"A great chilled Sunday brunch, food was amazing and i liked the fact you can browse within Covid rules the food at each station rather than just a menu order.
Staff especially Andrew gave great service, I would recommend for people to chill eat and relax."
Best service by Rasif,We had our dinner at Mezza9 and Rasif was very attentive. He was also very cheerful and crack some jokes too. It’s a pleasant to be served by him. Of course the food and ambient was great too.
Excellent service at Mezza9,Excellent service staff Shah (Mezza9) who gave good advise on selection of wines paired with meat platter.
"Great food, ambience and hospitality",Food was great - especially the crab cake and oysters. Even the mashed potatoes were delicious. I went with my family and we were all very well taken care of by Razif our waiter. Will definitely be back!
Must do brunch,"Went for bottomless brunch, and it’s totally free flowing. Food is fab, can’t say enough about the sushi/sashimi and, specifically, the dessert which was unbelievably good. Thanks to Shah, Loges and the team for looking after us so well. Despite us going during covid times we loved this gem."
Wonderful lunch on 7th Feb,"It was wonderful lunch , we had beef steak and fish burger Food was nice but service was even better Thanks to Mr Shah ☺️ he was very friendly and attentive"
Good lunch visit,"The set lunches were great value for money and the service was impeccable. Special shout out to the server, Razif who was warm and friendly, and attended to our every needs! Will not to hesitate to visit again."
Good CNY meal,Excellent meal - great service by Vesalan. Very attentive to our needs and helpful. Good recommendation of dishes too.
Best Dining experience in Hyatt being served by Vesalan,"It was truly an amazing dining experience in Hyatt being served by a waiter named Vesalan.

He first asked what my friend and my specific diet was before he went on to introduce what was the specialties in the restaurant.

He also went the extra mile to ensure we were comfortable in our seatings and came by to make sure our meals were to our liking.

The personal touch he gave made the entire dining experience perfect. I strongly suggest dining at Hyatt’s mezza9 coz not only the food was great, the service was awesome.

Thank you Vesalan for your attentiveness and Hyatt for you having such a great staff around."
Excellent Service by Vesalan,"Mezz9 waiter, Vesalan, offered very professional service and offered good advice on menu choices. We truly enjoyed our lunch and with such excellent service, we will surely be back"
Dinner at Mezza9,"We had dinner at Mezza9 and was served by VESALAN. He was a wonderful waiter and helped us in our selection of the menu.
He was well versed in the dishes on the menu.
He was patient and polite and kept checking on us and making sure everything was ok.
It made our dinner at Mezza9 a joyful experience."
Excellent Buffet,"I have visited Mezza9 on several occasions before and during the pandemic. The buffet is managed extremely well while still maintaining COVID safety. The highlights of the Sunday Brunch was the seafood and sashimi, always a highlight of this buffet.

There were a few downsides when I compare it to the past. The free flow option used to include a gin room and cocktails which was pure heaven. Why are these wonderful drinks no longer possible? I'm on mourning for the gin room. That place was a vision of my heaven.

Also, free flow soft drinks are not part of the buffet which does not make sense. Orange juice and other soft drinks are not expensive, so why not include them in the buffet? They'll also fill people up and you'll save money on buffet.

Also, why not offer everyone a complementary glass of wine on arrival? Then, you're sure to get some converts to free flow! These ideas make money sense and you'll give customers a boost when they come to the buffet."
"Great Food, Great Service","Superb food, and great service. They served us a wrong dish, which was still cooked very well, let us have the dish, and continued to serve us the correct dish thereafter. No questions asked. Loved the service, the food, and the attention to detail. Will come back again."
Average,"Average service and food ! Mapo tofu was tasteless. Restaurant rung couple of times but unfortunately when i pick up call, line was dropped. When i finally call them back ; was totally surprised that restaurant mentioned that my reservation would b canceled if ive not call them back. Restaurant did not leave voicemail that if they didn’t hear frm me reservations will b cancelled. Totally unacceptable!"
Gr8 food & service,"Food was great and had great value, especially with DBS card. Most importantly, our waiter, Shah, had the best customer service - he was fast, attentive and had contagious joy. Would visit again! p.s. Shah very handsome ;)"
Christmas dinner with friends,The experience was good. The staffs are friendly and accomodating. Food is good but on the pricey side.
Dinner at Mezza9 - great as always,"Came for dinner and as always, the food was excellent, and the staff very attentive.. they made us feel very comfortable and we had a great meal... special mention to Ravi and Sam for impeccable service."
